PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High
ABLLL,ABLLL,ABL,,BB,8.00,05/13/2025,2/15/2027,11/15/2028,0.62,9.88%,,,95.62,Insurance,,,,,,,,25.48,,,26.12,26.23,-2.44,-2.86,24.09,38.50,24.09,38.50
ABR PRD,ABR-D,ABR,,,8.00,06/17/2025,6/2/2026,NONE,0.40,6.38%,21.35,16.60,192.08,Reit,,,,,,,,17.16,0.56,-4.19,17.81,18.37,-3.66,-6.59,16.75,19.98,15.90,19.98
ABR PRE,ABR-E,ABR,,,8.00,06/17/2025,8/11/2026,NONE,0.39,6.25%,21.35,16.60,192.08,Reit,,,,,,,,16.43,-0.17,-4.92,17.43,18.17,-5.72,-9.56,16.42,20.60,16.00,20.94
ABR PRF,ABR-F,ABR,,,8.00,07/11/2025,10/30/2026,NONE,0.39,6.25%,,,192.08,Reit,,,,,,,,20.60,,,21.71,20.52,-5.12,0.37,18.40,23.30,17.15,23.30
ACR PRC,ACR-C,ACR,FF,,8.00,07/01/2025,7/30/2024,NONE,0.64,8.63%,,,7.39,Reit,,,,,,,,24.84,,,24.79,24.82,0.22,0.07,22.61,25.53,19.75,25.53
ACR PRD,ACR-D,ACR,,,8.00,07/01/2025,5/21/2026,NONE,0.49,7.88%,20.50,18.57,7.39,Reit,,,,,,,,20.78,2.21,0.28,21.46,22.10,-3.15,-5.97,18.12,23.64,16.75,24.49
AGNCL,AGNCL,AGNC,FF,,8.00,07/01/2025,10/15/2027,NONE,0.48,7.75%,,,1020.48,Reit,,,,,,,,25.28,,,24.86,24.56,1.67,2.92,22.84,26.59,19.78,26.59
AGNCM,AGNCM,AGNC,FF,,8.00,07/01/2025,4/15/2024,NONE,0.56,6.88%,,,1020.48,Reit,,,,,,,,24.71,,,24.92,25.08,-0.85,-1.49,23.01,25.63,20.47,25.85
AGNCN,AGNCN,AGNC,FF,,8.00,07/01/2025,10/15/2022,NONE,0.61,7.00%,,,1020.48,Reit,,,,,,,,25.68,,,25.67,25.70,0.03,-0.07,23.63,26.59,23.63,26.59
AGNCO,AGNCO,AGNC,FF,,8.00,07/01/2025,10/15/2024,NONE,0.60,6.50%,,,1020.48,Reit,,,,,,,,25.48,,,25.31,25.15,0.68,1.32,23.68,25.95,20.85,25.95
AGNCP,AGNCP,AGNC,NFF,,8.00,07/01/2025,4/15/2025,NONE,0.38,6.13%,,,1020.48,Reit,,,,,,,,25.00,,,24.88,24.52,0.50,1.97,23.37,25.48,19.61,25.48
AHL PRF,AHL-F,-,,,10.00,06/12/2025,11/30/2029,NONE,0.61,7.00%,,,-,-,,,,,,,,25.21,,,,,,,21.28,26.21,21.28,26.21
ALL PRB,ALL-B,ALL,FF,,12.50,06/27/2025,1/15/2023,1/15/2053,0.48,5.10%,,,264.67,Insurance,,,,,,,,25.72,,,26.00,26.00,-1.09,-1.08,25.01,27.00,25.01,27.00
ALL PRJ,ALL-J,ALL,,,12.00,06/27/2025,7/15/2028,NONE,0.46,7.38%,,25.29,264.67,Insurance,,,,,,,,26.45,1.16,,26.66,27.01,-0.79,-2.07,25.56,28.22,25.15,28.22
ALTG PRA,ALTG-A,ALTG,,,8.00,07/11/2025,12/22/2025,NONE,0.63,10.00%,26.75,25.75,33.19,Rental&leasingservices,,,,,,,,24.40,-1.35,-2.35,25.07,25.50,-2.67,-4.33,23.05,26.25,23.05,27.00
ANG PRB,ANG-B,-,FF,,9.00,05/16/2025,9/1/2025,NONE,0.41,6.63%,,,-,-,,,,,,,,24.90,,,25.11,25.00,-0.82,-0.39,24.55,25.90,22.00,25.90
ANG PRD,ANG-D,-,,,9.00,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,,,,,,,25.61,,,,,,,23.54,26.54,23.54,26.54
AOMN,AOMN,AOMR,,BB,8.00,07/14/2025,7/30/2026,7/30/2029,0.59,9.50%,,,23.50,Reit,,,,,,,,24.96,,,,,,,23.60,26.10,23.60,26.10
APOS,APOS,APO,NFF,,13.00,05/30/2025,12/15/2028,9/15/2053,0.48,7.63%,,,571.72,Assetmanagement,,,,,,,,26.47,,,26.51,26.75,-0.13,-1.06,24.89,27.74,24.89,27.77
AQNB,AQNB,AQN,FF,,9.00,06/13/2025,7/1/2024,7/1/2079,0.55,6.20%,,,789.65,Utilities,,,,,,,,25.53,,,25.41,25.44,0.49,0.34,24.59,26.50,22.71,26.50
ARGD,ARGD,-,,BB,9.50,05/30/2025,9/15/2017,9/15/2042,0.41,6.50%,24.35,21.31,-,-,,,,,,,,20.20,-1.11,-4.15,21.08,21.80,-4.18,-7.32,19.19,22.85,19.19,24.24
ARGO PRA,ARGO-A,-,NFF,,8.50,05/27/2025,9/15/2025,NONE,0.44,7.00%,,,-,-,,,,,,,,25.21,,,25.06,24.89,0.58,1.27,24.27,25.36,20.76,25.49
ARR PRC,ARR-C,ARR,,,8.00,05/15/2025,1/28/2025,,0.15,7.00%,22.60,18.06,81.90,Reit,,,,,,,,20.60,2.54,-2.00,21.26,21.64,-3.12,-4.79,19.27,23.58,17.85,23.58
