"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","Normalized_COM_6M","Normalized_COM_3M","Normalized_52W_LOW","FINAL_THG","CS_FACTOR"
"ABLLL","ABLLL","ABL","","BB","8.00","05/13/2025","2/15/2027","11/15/2028","0.62","9.88%","","","95.62","Insurance","","82.00","","","","","","25.49","","","26.12","26.23","-2.44","-2.86","24.09","38.50","24.09","38.50","25.42","1.33","-13.08","59.82","56.86","59.80","16.48","-13.08","1.33","16.44","80.40","10200.00","13469.00","7763.00","10477.00","49.17","","","","401.11","1.00"
"ABR PRD","ABR-D","ABR","","","8.00","06/17/2025","6/2/2026","NONE","0.40","6.38%","21.35","16.60","192.08","Reit","","27.00","","","","","","17.16","0.56","-4.19","17.81","18.37","-3.66","-6.59","16.75","19.98","15.90","19.98","16.88","0.13","-3.10","65.72","70.08","81.37","50.14","-3.10","0.98","44.69","82.40","15971.00","14433.00","12136.00","14180.00","44.64","","","","447.64","1.00"
"ABR PRE","ABR-E","ABR","","","8.00","06/17/2025","8/11/2026","NONE","0.39","6.25%","21.35","16.60","192.08","Reit","","27.00","","","","","","16.43","-0.17","-4.92","17.43","18.17","-5.72","-9.56","16.42","20.60","16.00","20.94","16.16","-0.26","-4.44","75.68","80.61","88.38","68.62","-4.78","0.16","64.72","87.09","7954.00","9004.00","11560.00","9506.00","44.64","","","","499.07","1.00"
"ABR PRF","ABR-F","ABR","","","8.00","07/11/2025","10/30/2026","NONE","0.39","6.25%","","","192.08","Reit","","51.00","","","","","","20.60","","","21.71","20.52","-5.12","0.37","18.40","23.30","17.15","23.30","20.43","2.03","-2.87","72.78","45.41","47.21","46.97","-2.87","3.28","41.95","69.26","21631.00","18065.00","9363.00","16353.00","44.64","","","","407.81","1.00"
"ACR PRC","ACR-C","ACR","FF","","8.00","07/01/2025","7/30/2024","NONE","0.64","8.63%","","","7.39","Reit","","41.00","","","","","","24.84","","","24.79","24.82","0.22","0.07","22.61","25.53","19.75","25.53","24.49","1.88","-1.04","46.95","46.47","49.91","21.72","-1.04","4.74","20.13","60.91","8410.00","7710.00","6361.00","7494.00","50.85","","","","352.50","1.00"
"ACR PRD","ACR-D","ACR","","","8.00","07/01/2025","5/21/2026","NONE","0.49","7.88%","20.50","18.57","7.39","Reit","","41.00","","","","","","20.78","2.21","0.28","21.46","22.10","-3.15","-5.97","18.12","23.64","16.75","24.49","20.51","2.39","-3.13","63.25","67.88","40.74","50.55","-3.98","3.76","55.19","66.51","6469.00","8111.00","6213.00","6931.00","50.85","","","","439.98","1.00"
"AGNCL","AGNCL","AGNC","FF","","8.00","07/01/2025","10/15/2027","NONE","0.48","7.75%","","","1020.48","Reit","","41.00","","","","","","25.28","","","24.86","24.56","1.67","2.92","22.84","26.59","19.78","26.59","25.02","2.18","-1.57","39.94","36.37","44.52","29.03","-1.57","5.24","26.45","58.06","16823.00","15618.00","8920.00","13787.00","54.68","","","","332.26","1.00"
"AGNCM","AGNCM","AGNC","FF","","8.00","07/01/2025","4/15/2024","NONE","0.56","6.88%","","","1020.48","Reit","","41.00","","","","","","24.71","","","24.92","25.08","-0.85","-1.49","23.01","25.63","20.47","25.85","24.41","1.40","-1.22","52.13","52.00","58.54","24.21","-1.44","3.94","24.90","65.49","14451.00","15540.00","7669.00","12553.00","54.68","","","","389.48","1.00"
"AGNCN","AGNCN","AGNC","FF","","8.00","07/01/2025","10/15/2022","NONE","0.61","7.00%","","","1020.48","Reit","","41.00","","","","","","25.68","","","25.67","25.70","0.03","-0.07","23.63","26.59","23.63","26.59","25.35","1.72","-1.24","47.87","46.97","52.79","24.48","-1.24","1.72","22.52","78.17","22620.00","26489.00","9252.00","19454.00","54.68","","","","375.12","1.00"
"AGNCO","AGNCO","AGNC","FF","","8.00","07/01/2025","10/15/2024","NONE","0.60","6.50%","","","1020.48","Reit","","41.00","","","","","","25.48","","","25.31","25.15","0.68","1.32","23.68","25.95","20.85","25.95","25.15","1.47","-0.80","44.73","42.04","57.28","18.41","-0.80","4.30","17.27","63.43","34306.00","32773.00","21619.00","29566.00","54.68","","","","356.23","1.00"
"AGNCP","AGNCP","AGNC","NFF","","8.00","07/01/2025","4/15/2025","NONE","0.38","6.13%","","","1020.48","Reit","","41.00","","","","","","25.00","","","24.88","24.52","0.50","1.97","23.37","25.48","19.61","25.48","24.79","1.42","-0.69","45.60","39.74","58.18","16.90","-0.69","5.18","15.96","58.40","36489.00","39823.00","20675.00","32329.00","54.68","","","","352.94","1.00"
"AHL PRF","AHL-F","-","","","10.00","06/12/2025","11/30/2029","NONE","0.61","7.00%","","","-","-","","22.00","","","","","","25.21","","","","","","","21.28","26.21","21.28","26.21","24.75","3.47","-1.46","44.14","40.14","21.33","27.52","-1.46","3.47","25.14","68.17","33017.00","20448.00","14696.00","22720.00","42.16","","","","315.37","1.00"
"AHL PRF","AHL-F","-","","","10.00","06/12/2025","11/30/2029","NONE","0.61","7.00%","","","-","-","","22.00","","","","","","25.21","","","","","","","21.28","26.21","21.28","26.21","24.75","3.47","-1.46","44.14","40.14","21.33","27.52","-1.46","3.47","25.14","68.17","33017.00","20448.00","14696.00","22720.00","42.16","","","","315.37","1.00"
"AHL PRF","AHL-F","-","","","10.00","06/12/2025","11/30/2029","NONE","0.61","7.00%","","","-","-","","22.00","","","","","","25.21","","","","","","","21.28","26.21","21.28","26.21","24.75","3.47","-1.46","44.14","40.14","21.33","27.52","-1.46","3.47","25.14","68.17","33017.00","20448.00","14696.00","22720.00","42.16","","","","315.37","1.00"
"AHL PRF","AHL-F","-","","","10.00","06/12/2025","11/30/2029","NONE","0.61","7.00%","","","-","-","","22.00","","","","","","25.21","","","","","","","21.28","26.21","21.28","26.21","24.75","3.47","-1.46","44.14","40.14","21.33","27.52","-1.46","3.47","25.14","68.17","33017.00","20448.00","14696.00","22720.00","42.16","","","","315.37","1.00"
"AHL PRF","AHL-F","-","","","10.00","06/12/2025","11/30/2029","NONE","0.61","7.00%","","","-","-","","22.00","","","","","","25.21","","","","","","","21.28","26.21","21.28","26.21","24.75","3.47","-1.46","44.14","40.14","21.33","27.52","-1.46","3.47","25.14","68.17","33017.00","20448.00","14696.00","22720.00","42.16","","","","315.37","1.00"
"ALL PRB","ALL-B","ALL","FF","","12.50","06/27/2025","1/15/2023","1/15/2053","0.48","5.10%","","","264.67","Insurance","","37.00","","","","","","25.72","","","26.00","26.00","-1.09","-1.08","25.01","27.00","25.01","27.00","25.44","0.43","-1.56","53.29","50.55","75.98","28.90","-1.56","0.43","26.33","85.54","27718.00","31809.00","31497.00","30341.00","79.50","66.55","78.73","75.80","467.97","1.00"
"ALL PRB","ALL-B","ALL","FF","","12.50","06/27/2025","1/15/2023","1/15/2053","0.48","5.10%","","","264.67","Insurance","","37.00","","","","","","25.72","","","26.00","26.00","-1.09","-1.08","25.01","27.00","25.01","27.00","25.44","0.43","-1.56","53.29","50.55","75.98","28.90","-1.56","0.43","26.33","85.54","27718.00","31809.00","31497.00","30341.00","79.50","66.55","78.73","75.80","467.97","1.00"
"ALL PRJ","ALL-J","ALL","","","12.00","06/27/2025","7/15/2028","NONE","0.46","7.38%","","25.29","264.67","Insurance","","37.00","","","","","","26.45","1.16","","26.66","27.01","-0.79","-2.07","25.56","28.22","25.15","28.22","26.18","0.62","-2.04","51.84","54.06","72.56","35.52","-2.04","1.03","32.06","82.11","38350.00","36839.00","37136.00","37442.00","79.50","66.55","78.73","75.80","473.73","1.00"
"ALL PRJ","ALL-J","ALL","","","12.00","06/27/2025","7/15/2028","NONE","0.46","7.38%","","25.29","264.67","Insurance","","37.00","","","","","","26.45","1.16","","26.66","27.01","-0.79","-2.07","25.56","28.22","25.15","28.22","26.18","0.62","-2.04","51.84","54.06","72.56","35.52","-2.04","1.03","32.06","82.11","38350.00","36839.00","37136.00","37442.00","79.50","66.55","78.73","75.80","473.73","1.00"
"ALTG PRA","ALTG-A","ALTG","","","8.00","07/11/2025","12/22/2025","NONE","0.63","10.00%","26.75","25.75","33.19","Rental&leasingservices","","51.00","","","","","","24.40","-1.35","-2.35","25.07","25.50","-2.67","-4.33","23.05","26.25","23.05","27.00","24.13","1.08","-2.12","60.93","62.07","64.29","36.62","-2.87","1.08","41.95","81.83","2415.00","2616.00","2946.00","2659.00","34.34","","","","386.34","1.00"
"ANG PRB","ANG-B","-","FF","","9.00","05/16/2025","9/1/2025","NONE","0.41","6.63%","","","-","-","","85.00","","","","","","24.90","","","25.11","25.00","-0.82","-0.39","24.55","25.90","22.00","25.90","24.88","0.33","-1.02","51.98","48.10","77.78","21.45","-1.02","2.88","19.90","71.54","42941.00","60864.00","46380.00","50061.00","42.16","","","","365.29","1.00"
"ANG PRB","ANG-B","-","FF","","9.00","05/16/2025","9/1/2025","NONE","0.41","6.63%","","","-","-","","85.00","","","","","","24.90","","","25.11","25.00","-0.82","-0.39","24.55","25.90","22.00","25.90","24.88","0.33","-1.02","51.98","48.10","77.78","21.45","-1.02","2.88","19.90","71.54","42941.00","60864.00","46380.00","50061.00","42.16","","","","365.29","1.00"
"ANG PRB","ANG-B","-","FF","","9.00","05/16/2025","9/1/2025","NONE","0.41","6.63%","","","-","-","","85.00","","","","","","24.90","","","25.11","25.00","-0.82","-0.39","24.55","25.90","22.00","25.90","24.88","0.33","-1.02","51.98","48.10","77.78","21.45","-1.02","2.88","19.90","71.54","42941.00","60864.00","46380.00","50061.00","42.16","","","","365.29","1.00"
"ANG PRB","ANG-B","-","FF","","9.00","05/16/2025","9/1/2025","NONE","0.41","6.63%","","","-","-","","85.00","","","","","","24.90","","","25.11","25.00","-0.82","-0.39","24.55","25.90","22.00","25.90","24.88","0.33","-1.02","51.98","48.10","77.78","21.45","-1.02","2.88","19.90","71.54","42941.00","60864.00","46380.00","50061.00","42.16","","","","365.29","1.00"
"ANG PRB","ANG-B","-","FF","","9.00","05/16/2025","9/1/2025","NONE","0.41","6.63%","","","-","-","","85.00","","","","","","24.90","","","25.11","25.00","-0.82","-0.39","24.55","25.90","22.00","25.90","24.88","0.33","-1.02","51.98","48.10","77.78","21.45","-1.02","2.88","19.90","71.54","42941.00","60864.00","46380.00","50061.00","42.16","","","","365.29","1.00"
"ANG PRD","ANG-D","-","","","9.00","06/30/2025","1/15/2030","","0.49","7.38%","","","-","-","","40.00","","","","","","25.61","","","","","","","23.54","26.54","23.54","26.54","25.34","1.80","-1.20","44.14","40.14","51.35","23.93","-1.20","1.80","22.04","77.71","46621.00","46621.00","13809.00","35683.00","42.16","","","","327.31","1.00"
