"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"ACGLN","ACGL","","12","12/13/2024","","","0.28","4.55","21.70","16.62","17.06","0.44","-4.64","17.86","19.12","-4.50","-10.76","16.44","20.99","16.44","21.22","21.00","16.85","0.41","-4.14","71.61","72.41","75.70","60.31","-4.85","0.23","61.05","69.98","-4.37","0.41","63.28","88.17","32399.00","32984.00","23855.00","29746.00","68.64","0.07","447.02","2.07","702.15"
"ACGLO","ACGL","","11.5","12/13/2024","","","0.34","5.45","24.93","19.34","20.64","1.30","-4.29","21.14","22.28","-2.35","-7.37","19.99","23.93","19.20","24.50","21.00","20.38","0.39","-3.55","59.02","57.62","76.25","51.80","-4.55","1.04","57.98","62.64","-4.12","1.18","59.64","81.11","19624.00","20535.00","16211.00","18790.00","68.64","0.07","413.46","2.07","702.15"
"ACP PRA","ACP","","15","12/16/2024","","","0.33","5.25","24.61","21.47","21.46","-0.01","-3.15","21.71","23.24","-1.15","-7.66","20.21","25.00","19.65","26.33","24.00","21.22","1.01","-3.78","51.99","58.88","59.21","55.12","-3.39","-0.25","46.11","74.33","-5.11","1.57","74.09","77.54","1931.00","2372.00","1235.00","1846.00","55.94","0.06","373.31","2.07","702.15"
"ADC PRA","ADC","","11","10/22/2024","","","0.27","4.25","20.92","15.83","17.54","1.71","-3.38","17.61","18.44","-0.39","-4.89","16.96","21.94","15.71","21.94","59.00","17.45","0.49","-4.49","47.54","46.79","73.51","65.35","-3.47","1.62","46.93","57.38","-4.49","1.74","65.04","75.98","15926.00","14548.00","7493.00","12656.00","65.97","0.06","382.62","2.07","702.15"
"AEFC","AEG","BB","12.5","11/29/2024","12/15/2024","","0.32","5.10","24.32","18.56","20.18","1.62","-4.14","20.39","21.20","-1.01","-4.83","18.61","22.90","18.24","22.90","7.00","19.88","1.27","-3.02","51.17","46.53","52.06","44.16","-4.44","1.32","56.85","60.10","-3.02","1.64","43.58","76.90","36193.00","41122.00","32602.00","36639.00","36.73","0.06","310.61","2.07","702.15"
"AFGB","AFG","BB","11.5","12/13/2024","","","0.37","5.88","26.83","21.40","21.27","-0.13","-5.56","22.09","23.42","-3.70","-9.17","20.68","25.27","20.68","25.27","21.00","20.99","0.31","-4.28","66.93","65.47","78.45","62.32","-5.84","-0.41","71.18","75.78","-4.28","0.31","61.97","89.08","7336.00","9212.00","7827.00","8125.00","65.68","0.07","431.68","2.07","702.15"
"AFGC","AFG","BB","11.5","11/29/2024","","","0.32","5.13","26.22","18.46","18.84","0.38","-7.38","19.63","20.95","-4.04","-10.08","18.20","23.42","18.20","23.42","7.00","18.54","0.34","-4.88","68.92","69.44","77.63","70.97","-7.68","0.08","90.00","71.34","-4.88","0.34","70.73","88.81","5934.00","6797.00","4585.00","5772.00","65.68","0.07","443.40","2.07","702.15"
"AFGD","AFG","BB","11.5","11/15/2024","","","0.35","5.63","25.56","20.36","20.10","-0.26","-5.46","21.31","22.97","-5.70","-12.50","18.19","25.61","18.19","25.61","83.00","20.07","1.88","-5.54","78.64","80.01","35.29","80.49","-5.49","-0.29","67.60","74.69","-5.54","1.88","80.36","74.70","7466.00","8454.00","5798.00","7240.00","65.68","0.07","442.24","2.07","702.15"
"AFGE","AFG","BB","11.5","11/29/2024","","","0.28","4.50","22.31","16.58","16.68","0.10","-5.63","17.43","18.80","-4.30","-11.29","16.26","21.21","16.20","21.78","7.00","16.42","0.16","-4.79","70.44","74.72","82.58","69.68","-5.89","-0.16","71.69","73.51","-5.36","0.22","77.74","89.91","9557.00","7434.00","6420.00","7804.00","65.68","0.07","451.27","2.07","702.15"
"AGM PRD","AGM","","NR","12/27/2024","","","0.36","5.70","25.28","21.04","21.91","0.87","-3.37","22.24","23.00","-1.50","-4.73","21.35","24.86","20.26","25.70","35.00","21.69","0.34","-3.17","54.04","46.09","77.63","46.32","-3.59","0.65","48.16","66.17","-4.01","1.43","58.03","78.82","4090.00","4602.00","2657.00","3783.00","52.19","0.07","358.77","2.07","702.15"
"AGM PRE","AGM","","NR","12/27/2024","","","0.36","5.75","24.90","21.55","21.72","0.17","-3.18","22.39","23.15","-2.99","-6.19","21.42","24.74","20.31","24.93","35.00","21.50","0.08","-3.24","62.77","52.47","84.78","47.33","-3.40","-0.05","46.21","72.51","-3.43","1.19","49.56","81.02","4402.00","2068.00","2103.00","2858.00","52.19","0.07","372.05","2.07","702.15"
"AGM PRF","AGM","","NR","12/27/2024","","","0.33","5.25","22.50","19.90","20.21","0.31","-2.29","20.67","21.33","-2.22","-5.26","19.81","23.39","17.82","23.99","35.00","20.01","0.20","-3.38","58.26","48.41","81.48","49.35","-2.49","0.11","36.91","71.06","-3.98","2.19","57.59","71.86","9715.00","9096.00","7245.00","8685.00","52.19","0.06","356.54","2.07","702.15"
"AGM PRG","AGM","","NR","12/27/2024","","","0.30","4.88","21.80","18.20","18.91","0.71","-2.89","19.24","19.92","-1.72","-5.08","18.37","22.37","17.16","22.37","35.00","18.73","0.36","-3.64","55.33","47.62","77.08","53.10","-3.07","0.53","42.84","67.26","-3.64","1.57","52.63","77.54","9655.00","8194.00","6257.00","8036.00","52.19","0.06","354.13","2.07","702.15"
"AHH PRA","AHH","","NR","1/2/2025","","","0.42","6.75","26.43","20.50","21.90","1.40","-4.53","21.92","22.49","-0.08","-2.63","19.88","25.76","19.52","25.76","41.00","21.67","1.79","-4.09","45.72","36.93","37.77","59.59","-4.76","1.17","60.13","61.46","-4.09","2.15","59.20","72.22","8144.00","8042.00","3451.00","6545.00","37.13","0.08","310.96","2.07","702.15"
"AIZN","AIZ","BB","10","12/27/2024","","","0.33","5.25","24.00","17.74","20.58","2.84","-3.42","19.87","21.03","3.58","-2.12","18.01","23.14","17.70","23.14","35.00","20.38","2.37","-2.76","24.29","34.70","21.82","40.41","-3.62","2.64","48.47","48.14","-2.76","2.68","39.78","67.37","11478.00","13545.00","12460.00","12494.00","64.21","0.06","312.10","2.07","702.15"
"ALL PRH","ALL","","12","12/27/2024","","","0.32","5.10","24.78","18.74","20.84","2.10","-3.94","21.50","22.34","-3.08","-6.70","19.37","24.97","18.38","24.97","35.00","20.64","1.27","-4.33","63.29","54.69","52.06","63.05","-4.14","1.90","53.79","54.85","-4.33","2.26","62.70","71.21","86726.00","76527.00","66349.00","76534.00","77.76","0.06","428.80","2.07","702.15"
"ALL PRI","ALL","","12","12/27/2024","","","0.30","4.75","24.92","17.85","19.32","1.47","-5.60","19.98","21.06","-3.29","-8.28","18.56","24.49","17.50","24.49","35.00","19.14","0.58","-5.35","64.52","61.59","71.03","77.75","-5.78","1.29","70.56","60.37","-5.35","1.64","77.59","76.90","22799.00","20748.00","21818.00","21788.00","77.76","0.06","446.18","2.07","702.15"
"AMH PRG","AMH","","9","12/13/2024","","","0.37","5.88","25.47","21.43","23.52","2.09","-1.95","23.10","23.36","1.81","0.67","21.76","25.34","21.10","25.34","21.00","23.24","1.48","-2.10","34.66","22.53","46.29","30.90","-2.23","1.81","34.25","55.66","-2.10","2.14","30.15","72.31","7724.00","8444.00","9298.00","8489.00","62.61","0.06","306.95","2.07","702.15"
"AMH PRH","AMH","","9","12/13/2024","","","0.39","6.25","25.85","22.38","24.93","2.55","-0.92","24.17","24.27","3.14","2.72","22.70","26.25","21.74","26.25","21.00","24.63","1.93","-1.62","26.87","13.58","33.92","23.98","-1.22","2.25","23.91","51.68","-1.62","2.89","23.14","65.44","8594.00","7763.00","8787.00","8382.00","62.61","0.06","279.00","2.07","702.15"
"ASB PRE","ASB","","10","12/2/2024","","","0.37","5.88","25.10","16.77","20.57","3.80","-4.53","21.00","21.40","-2.05","-3.87","19.25","23.75","15.75","23.75","10.00","20.24","0.99","-3.51","57.26","42.34","59.76","51.23","-4.86","3.47","61.15","40.62","-3.51","4.49","50.73","50.78","3734.00","3083.00","3127.00","3315.00","57.05","0.07","342.37","2.07","702.15"
"ASB PRF","ASB","","10","12/2/2024","","","0.35","5.63","25.25","16.40","19.70","3.30","-5.55","20.08","20.46","-1.88","-3.73","18.51","22.91","14.91","22.91","10.00","19.39","0.88","-3.52","56.27","41.73","62.78","51.37","-5.86","2.99","71.38","44.97","-3.52","4.48","50.88","50.87","6295.00","4931.00","4945.00","5390.00","57.05","0.07","346.14","2.07","702.15"
"ATH PRB","-","","11","12/13/2024","","","0.35","5.63","25.26","18.00","19.73","1.73","-5.53","20.11","21.26","-1.89","-7.20","18.34","23.53","16.66","23.53","21.00","19.46","1.12","-4.07","56.33","56.87","56.19","59.30","-5.80","1.46","70.77","58.83","-4.07","2.80","58.91","66.27","21471.00","22616.00","19294.00","21127.00","45.05","0.07","353.04","2.07","702.15"
"ATH PRD","-","","11","12/13/2024","","","0.30","4.88","21.69","15.24","17.03","1.79","-4.66","17.40","18.46","-2.12","-7.76","15.86","20.61","15.19","20.61","21.00","16.80","0.94","-3.81","57.67","59.32","61.13","55.55","-4.89","1.56","61.46","57.93","-3.81","1.61","55.11","77.17","46068.00","46278.00","30146.00","40830.00","45.05","0.07","362.72","2.07","702.15"
"AXS PRE","AXS","","11.5","12/26/2024","","","0.34","5.50","24.04","19.26","20.05","0.79","-3.99","20.74","21.56","-3.33","-6.99","19.45","23.66","18.77","23.66","34.00","19.84","0.39","-3.82","64.76","55.96","76.25","55.69","-4.20","0.58","54.40","66.81","-3.82","1.07","55.26","82.12","31476.00","33290.00","33492.00","32752.00","68.66","0.07","419.93","2.07","702.15"
"BAC PRB","BAC","","11","10/29/2024","6/16/2023","","0.38","6.00","25.69","23.02","24.51","1.49","-1.18","24.96","25.10","-1.79","-2.36","24.15","25.63","22.30","25.63","66.00","24.41","0.26","-1.22","55.74","35.75","79.83","18.22","-1.28","1.39","24.53","59.47","-1.22","2.11","17.30","72.59","68613.00","82424.00","91353.00","80796.00","78.10","0.06","384.09","2.07","702.15"
"BAC PRK","BAC","","11","1/2/2025","","","0.37","5.88","25.68","22.00","23.98","1.98","-1.70","24.57","24.84","-2.40","-3.45","23.45","25.43","21.51","25.43","41.00","23.78","0.33","-1.65","59.31","40.51","77.90","24.41","-1.90","1.78","30.87","55.93","-1.65","2.27","23.58","71.12","49154.00","50140.00","49263.00","49519.00","78.10","0.06","385.73","2.07","702.15"
"BAC PRM","BAC","","11","12/2/2024","","","0.34","5.38","25.18","20.70","21.77","1.07","-3.41","22.66","23.29","-3.93","-6.55","21.44","24.88","20.54","24.88","10.00","21.47","0.03","-3.41","68.27","54.04","86.15","49.78","-3.71","0.77","49.39","65.08","-3.41","0.93","49.27","83.40","89186.00","73988.00","64489.00","75888.00","78.10","0.06","442.01","2.07","702.15"
"BAC PRN","BAC","","11","12/2/2024","","","0.31","5.00","23.90","19.25","20.16","0.91","-3.74","21.03","21.90","-4.12","-7.94","19.50","24.04","19.00","24.04","10.00","19.88","0.38","-4.16","69.39","60.10","76.53","60.59","-4.02","0.63","52.56","66.35","-4.16","0.88","60.22","83.86","99213.00","85077.00","86781.00","90357.00","78.10","0.06","457.16","2.07","702.15"
"BAC PRO","BAC","","11","10/15/2024","11/3/2025","","0.27","4.38","21.39","16.54","17.60","1.06","-3.79","18.51","19.39","-4.92","-9.22","17.30","21.54","16.35","21.54","52.00","17.49","0.19","-4.05","74.07","65.69","81.75","59.01","-3.90","0.95","51.33","63.45","-4.05","1.14","58.61","81.48","75049.00","69666.00","78359.00","74358.00","78.10","0.06","459.55","2.07","702.15"
"BAC PRP","BAC","","11","10/15/2024","","","0.26","4.12","20.80","15.57","16.57","1.00","-4.23","17.50","18.32","-5.29","-9.57","16.26","20.58","15.40","20.58","52.00","16.46","0.20","-4.12","76.24","67.22","81.48","60.02","-4.34","0.89","55.83","64.00","-4.12","1.06","59.64","82.21","64676.00","56863.00","54211.00","58584.00","78.10","0.06","460.18","2.07","702.15"
"BAC PRQ","BAC","","11","11/1/2024","","","0.27","4.25","20.46","16.11","16.97","0.86","-3.49","17.94","18.74","-5.38","-9.46","16.74","21.00","15.98","21.00","69.00","16.91","0.17","-4.09","76.76","66.74","82.30","59.59","-3.55","0.80","47.75","64.81","-4.09","0.93","59.20","83.40","98613.00","94976.00","100299.00","97963.00","78.10","0.06","469.24","2.07","702.15"
"BAC PRS","BAC","","11","11/1/2024","","","0.30","4.75","22.49","18.24","19.10","0.86","-3.39","20.08","20.95","-4.87","-8.84","18.78","23.44","17.82","23.44","69.00","19.03","0.25","-4.41","73.78","64.03","80.10","64.20","-3.46","0.79","46.83","64.90","-4.41","1.21","63.87","80.84","47670.00","36646.00","41386.00","41901.00","78.10","0.06","452.27","2.07","702.15"
"BCV PRA","BCV","","16","12/16/2024","","","0.34","5.39","24.69","22.15","22.17","0.03","-2.51","22.41","22.97","-1.04","-3.45","21.51","24.71","21.51","25.26","24.00","21.93","0.42","-2.78","51.35","40.51","75.43","40.70","-2.76","-0.22","39.67","74.05","-3.33","0.42","48.10","88.08","1910.00","1714.00","1659.00","1761.00","59.54","0.06","358.57","2.07","702.15"
"BFS PRD","BFS","","NR","12/27/2024","","","0.38","6.13","24.15","19.30","21.25","1.95","-2.90","21.00","21.42","1.21","-0.81","19.30","23.77","19.01","23.95","35.00","21.02","1.72","-2.75","38.17","28.99","39.69","40.27","-3.13","1.72","43.45","56.48","-2.93","2.01","42.26","73.51","4132.00","3316.00","861.00","2770.00","44.33","0.07","290.21","2.07","702.15"
"BFS PRE","BFS","","NR","12/27/2024","","","0.38","6.00","24.60","18.93","20.85","1.92","-3.75","20.82","21.37","0.15","-2.45","18.34","24.06","18.34","24.49","35.00","20.62","2.28","-3.44","44.38","36.14","24.30","50.22","-3.98","1.69","52.15","56.75","-3.87","2.28","55.99","71.03","4833.00","4518.00","2934.00","4095.00","44.33","0.07","304.17","2.07","702.15"
"BHFAL","BHF","BB","10.5","12/2/2024","9/15/2023","","0.39","6.25","26.35","20.69","20.22","-0.39","-6.05","21.24","22.81","-4.42","-10.99","19.26","25.47","19.10","25.47","10.00","19.95","0.69","-5.52","71.14","73.42","68.01","80.20","-6.40","-0.74","76.91","78.77","-5.52","0.85","80.07","84.14","20085.00","21360.00","13436.00","18294.00","62.45","0.08","453.08","2.07","702.15"
"BHFAM","BHF","","10.5","12/6/2024","","","0.29","4.63","21.13","13.35","14.91","1.56","-6.22","14.81","16.20","0.65","-7.97","13.28","18.95","13.03","18.95","14.00","14.67","1.39","-4.28","41.45","60.23","48.76","62.32","-6.46","1.32","77.52","60.10","-4.28","1.64","61.97","76.90","34139.00","35564.00","26902.00","32202.00","61.22","0.08","395.99","2.07","702.15"
