PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price
ACGLN,ACGL,,12,12/13/2024,,,0.28,4.55%,21.7,16.62
ACGLO,ACGL,,11.5,12/13/2024,,,0.34,5.45%,24.93,19.34
ACP PRA,ACP,,15,12/16/2024,,,0.33,5.25%,24.61,21.47
ADC PRA,ADC,,11,10/22/2024,,,0.27,4.25%,20.92,15.83
AEFC,AEG,BB,12.5,11/29/2024,12/15/2024,,0.32,5.10%,24.32,18.56
AFGB,AFG,BB,11.5,12/13/2024,,,0.37,5.88%,26.83,21.4
AFGC,AFG,BB,11.5,11/29/2024,,,0.32,5.13%,26.22,18.46
AFGD,AFG,BB,11.5,11/15/2024,,,0.35,5.63%,25.56,20.36
AFGE,AFG,BB,11.5,11/29/2024,,,0.28,4.50%,22.31,16.58
AGM PRD,AGM,,NR,12/27/2024,,,0.36,5.70%,25.28,21.04
AGM PRE,AGM,,NR,12/27/2024,,,0.36,5.75%,24.9,21.55
AGM PRF,AGM,,NR,12/27/2024,,,0.33,5.25%,22.5,19.9
AGM PRG,AGM,,NR,12/27/2024,,,0.3,4.88%,21.8,18.2
AHH PRA,AHH,,NR,1/2/2025,,,0.42,6.75%,26.43,20.5
AIZN,AIZ,BB,10,12/27/2024,,,0.33,5.25%,24.0,17.74
ALL PRH,ALL,,12,12/27/2024,,,0.32,5.10%,24.78,18.74
ALL PRI,ALL,,12,12/27/2024,,,0.3,4.75%,24.92,17.85
AMH PRG,AMH,,9,12/13/2024,,,0.37,5.88%,25.47,21.43
AMH PRH,AMH,,9,12/13/2024,,,0.39,6.25%,25.85,22.38
ASB PRE,ASB,,10,12/2/2024,,,0.37,5.88%,25.1,16.77
ASB PRF,ASB,,10,12/2/2024,,,0.35,5.63%,25.25,16.4
ATH PRB,-,,11,12/13/2024,,,0.35,5.63%,25.26,18.0
ATH PRD,-,,11,12/13/2024,,,0.3,4.88%,21.69,15.24
AXS PRE,AXS,,11.5,12/26/2024,,,0.34,5.50%,24.04,19.26
BAC PRB,BAC,,11,10/29/2024,6/16/2023,,0.38,6.00%,25.69,23.02
BAC PRK,BAC,,11,1/2/2025,,,0.37,5.88%,25.68,22.0
BAC PRM,BAC,,11,12/2/2024,,,0.34,5.38%,25.18,20.7
BAC PRN,BAC,,11,12/2/2024,,,0.31,5.00%,23.9,19.25
BAC PRO,BAC,,11,10/15/2024,11/3/2025,,0.27,4.38%,21.39,16.54
BAC PRP,BAC,,11,10/15/2024,,,0.26,4.12%,20.8,15.57
BAC PRQ,BAC,,11,11/1/2024,,,0.27,4.25%,20.46,16.11
BAC PRS,BAC,,11,11/1/2024,,,0.3,4.75%,22.49,18.24
BCV PRA,BCV,,16,12/16/2024,,,0.34,5.39%,24.69,22.15
BFS PRD,BFS,,NR,12/27/2024,,,0.38,6.13%,24.15,19.3
BFS PRE,BFS,,NR,12/27/2024,,,0.38,6.00%,24.6,18.93
BHFAL,BHF,BB,10.5,12/2/2024,9/15/2023,,0.39,6.25%,26.35,20.69
BHFAM,BHF,,10.5,12/6/2024,,,0.29,4.63%,21.13,13.35
BHFAN,BHF,,10,12/6/2024,,,0.34,5.38%,22.69,15.27
BHFAO,BHF,,10,12/6/2024,6/25/2025,,0.42,6.75%,26.51,21.17
BHFAP,BHF,,10,12/6/2024,,,0.41,6.60%,26.1,20.01
BOH PRA,BOH,,12,10/17/2024,8/1/2026,,0.27,4.38%,20.44,13.05
BWBBP,BWB,,NR,11/11/2024,8/17/2026,,0.37,5.88%,23.52,16.57
CADE PRA,CADE,,NR,11/1/2024,11/20/2024,,0.34,5.50%,24.16,16.69
CFG PRE,CFG,,10,12/18/2024,,,0.31,5.00%,22.34,16.2
CFR PRB,CFR,,11.5,11/27/2024,,,0.28,4.45%,21.8,15.89
CIM PRA,CIM,,NR,12/11/2024,10/21/2021,,0.5,8.00%,22.82,18.15
CIO PRA,CIO,,NR,1/8/2025,9/15/2021,,0.41,6.63%,24.0,15.06
CLDT PRA,CLDT,,NR,12/27/2024,,,0.41,6.63%,24.33,19.64
CMS PRC,CMS,,10.5,1/2/2025,,,0.26,4.20%,20.81,17.98
CMSA,CMS,BB,11.5,11/29/2024,3/15/2023,,0.35,5.63%,26.19,21.25
CMSC,CMS,BB,11.5,12/27/2024,10/15/2023,,0.37,5.88%,25.19,21.74
CMSD,CMS,BB,11.5,11/15/2024,,,0.37,5.88%,25.59,21.91
CNO PRA,CNO,BB,NR,11/15/2024,11/25/2025,,0.32,5.13%,22.08,14.95
COF PRI,COF,,10,11/13/2024,,,0.31,5.00%,23.21,16.12
COF PRJ,COF,,10,11/13/2024,,,0.3,4.80%,21.9,15.54
COF PRK,COF,,10,11/13/2024,,,0.29,4.63%,22.17,14.99
COF PRL,COF,,10,11/13/2024,,,0.27,4.38%,20.06,13.84
COF PRN,COF,,10,11/13/2024,,,0.27,4.25%,19.94,13.68
CUBB,CUBI,BB,NR,12/13/2024,,,0.34,5.38%,23.56,18.75
DCOMP,DCOM,,8,11/5/2024,2/15/2025,,0.34,5.50%,22.38,14.51
DLR PRJ,DLR,,10.5,12/13/2024,,,0.33,5.25%,25.38,19.55
DLR PRK,DLR,,10.5,12/13/2024,,,0.37,5.88%,26.4,22.0
