Symbol,Group,Source
RJF PRB,1,extlthistorical.csv
VLYPO,6,extlthistorical.csv
KEY PRL,3,extlthistorical.csv
HOVNP,8,extlthistorical.csv
NYMTI,8,extlthistorical.csv
CRBD,7,extlthistorical.csv
EFC PRA,2,extlthistorical.csv
MITN,8,extlthistorical.csv
CNOBP,6,extlthistorical.csv
GNL PRB,2,extlthistorical.csv
SB PRD,1,extlthistorical.csv
GAINN,9,extlthistorical.csv
GAINI,8,extlthistorical.csv
ATCO PRH,9,extlthistorical.csv
ATH PRC,6,extlthistorical.csv
ABR PRF,2,extlthistorical.csv
QVCC,10,extlthistorical.csv
GAINZ,8,extlthistorical.csv
AGNCN,9,extlthistorical.csv
DX PRC,5,extlthistorical.csv
ABR PRE,2,extlthistorical.csv
OXSQG,1,extlthistorical.csv
AHL PRF,2,extlthistorical.csv
TRTN PRC,5,extlthistorical.csv
EFC PRB,9,extlthistorical.csv
MET PRA,5,extlthistorical.csv
GNL PRA,3,extlthistorical.csv
RWTO,8,extlthistorical.csv
SYF PRB,5,extlthistorical.csv
MS PRA,5,extlthistorical.csv
MS PRQ,0,extlthistorical.csv
LBRDP,9,extlthistorical.csv
RITM PRC,2,extlthistorical.csv
TRINI,8,extlthistorical.csv
EIIA,8,extlthistorical.csv
SACH PRA,9,extlthistorical.csv
WHFCL,1,extlthistorical.csv
EICC,1,extlthistorical.csv
RZB,5,extlthistorical.csv
OXLCG,8,extlthistorical.csv
SPMA,7,extlthistorical.csv
USB PRH,5,extlthistorical.csv
ECCW,8,extlthistorical.csv
NYMTM,2,extlthistorical.csv
DBRG PRI,2,extlthistorical.csv
RITM PRD,2,extlthistorical.csv
TRTN PRF,7,extlthistorical.csv
JXN PRA,6,extlthistorical.csv
BML PRL,5,extlthistorical.csv
DSX PRB,1,extlthistorical.csv
PRIF PRL,1,extlthistorical.csv
DRH PRA,8,extlthistorical.csv
NEWTG,8,extlthistorical.csv
MITP,9,extlthistorical.csv
GSL PRB,8,extlthistorical.csv
VOYA PRB,5,extlthistorical.csv
WBS PRG,6,extlthistorical.csv
CHSCL,9,extlthistorical.csv
MFICL,1,extlthistorical.csv
FGN,0,extlthistorical.csv
TWO PRB,2,extlthistorical.csv
SCCC,8,extlthistorical.csv
RZC,0,extlthistorical.csv
MS PRF,0,extlthistorical.csv
MGRE,0,extlthistorical.csv
ESGRO,5,extlthistorical.csv
PDPA,7,extlthistorical.csv
PRIF PRI,1,extlthistorical.csv
OXLCZ,8,extlthistorical.csv
PNFPP,6,extlthistorical.csv
AGNCP,2,extlthistorical.csv
CHSCN,9,extlthistorical.csv
HROWM,1,extlthistorical.csv
SEAL PRB,9,extlthistorical.csv
TFINP,9,extlthistorical.csv
DDT,9,extlthistorical.csv
ECCV,8,extlthistorical.csv
GLADZ,1,extlthistorical.csv
PMTV,0,extlthistorical.csv
NLY PRI,2,extlthistorical.csv
CGBDL,1,extlthistorical.csv
WTFCP,6,extlthistorical.csv
SCE PRM,0,extlthistorical.csv
ACR PRD,2,extlthistorical.csv
CMRE PRD,1,extlthistorical.csv
MFA PRC,2,extlthistorical.csv
SB PRC,1,extlthistorical.csv
KMPB,5,extlthistorical.csv
CHSCM,9,extlthistorical.csv
CIM PRD,2,extlthistorical.csv
NMFCZ,9,extlthistorical.csv
MFAN,9,extlthistorical.csv
PRIF PRD,1,extlthistorical.csv
SCE PRK,5,extlthistorical.csv
RIV PRA,9,extlthistorical.csv
CIM PRC,2,extlthistorical.csv
UCB PRI,6,extlthistorical.csv
BC PRA,5,extlthistorical.csv
CODI PRC,9,extlthistorical.csv
NEWTI,1,extlthistorical.csv
BML PRH,5,extlthistorical.csv
OXLCN,1,extlthistorical.csv
PBI PRB,3,extlthistorical.csv
MS PRP,0,extlthistorical.csv
