Symbol,Group,Source
BHFAM,8,historical_data.csv
AIZN,1,historical_data.csv
REGCO,11,historical_data.csv
AFGD,5,historical_data.csv
PEB PRF,5,historical_data.csv
SOJE,9,historical_data.csv
SF PRC,1,historical_data.csv
RNR PRF,2,historical_data.csv
AEFC,9,historical_data.csv
AGM PRG,1,historical_data.csv
SCHW PRJ,9,historical_data.csv
MET PRF,9,historical_data.csv
UZF,8,historical_data.csv
AFGB,5,historical_data.csv
AHH PRA,5,historical_data.csv
PSA PRM,2,historical_data.csv
ALL PRH,9,historical_data.csv
BAC PRK,4,historical_data.csv
SYF PRA,8,historical_data.csv
DLR PRL,2,historical_data.csv
PSA PRK,2,historical_data.csv
CNO PRA,3,historical_data.csv
ASB PRF,1,historical_data.csv
CMS PRC,9,historical_data.csv
PSA PRF,2,historical_data.csv
GGN PRB,7,historical_data.csv
GUT PRC,0,historical_data.csv
RNR PRG,9,historical_data.csv
TRTN PRE,3,historical_data.csv
USB PRQ,10,historical_data.csv
PRS,4,historical_data.csv
FCNCO,1,historical_data.csv
JPM PRK,9,historical_data.csv
ATH PRD,8,historical_data.csv
CFG PRE,8,historical_data.csv
ACGLN,9,historical_data.csv
ACGLO,9,historical_data.csv
JPM PRC,4,historical_data.csv
WBS PRF,8,historical_data.csv
CMSD,4,historical_data.csv
NYMTZ,11,historical_data.csv
PFH,9,historical_data.csv
JSM,1,historical_data.csv
BAC PRQ,2,historical_data.csv
T PRC,9,historical_data.csv
PSA PRI,2,historical_data.csv
BAC PRS,2,historical_data.csv
AFGC,2,historical_data.csv
ACP PRA,11,historical_data.csv
FRT PRC,2,historical_data.csv
RF PRE,10,historical_data.csv
ECF PRA,0,historical_data.csv
WFC PRC,2,historical_data.csv
SREA,2,historical_data.csv
WFC PRY,4,historical_data.csv
F PRC,9,historical_data.csv
TDS PRU,6,historical_data.csv
TFC PRR,10,historical_data.csv
WFC PRA,2,historical_data.csv
VNO PRO,6,historical_data.csv
DTB,10,historical_data.csv
FBRT PRE,5,historical_data.csv
BAC PRM,2,historical_data.csv
SF PRB,1,historical_data.csv
BAC PRP,2,historical_data.csv
INN PRE,5,historical_data.csv
TY PR,0,historical_data.csv
TCBIO,8,historical_data.csv
WFC PRD,9,historical_data.csv
ALL PRI,10,historical_data.csv
AGM PRD,5,historical_data.csv
T PRA,9,historical_data.csv
PRH,4,historical_data.csv
MET PRE,4,historical_data.csv
GAB PRG,7,historical_data.csv
PEB PRG,5,historical_data.csv
NCZ PRA,7,historical_data.csv
KIM PRL,2,historical_data.csv
COF PRJ,10,historical_data.csv
HBANM,1,historical_data.csv
EQH PRC,10,historical_data.csv
REXR PRB,7,historical_data.csv
BHFAL,1,historical_data.csv
WRB PRF,2,historical_data.csv
KREF PRA,5,historical_data.csv
PSA PRP,2,historical_data.csv
ETI PR,7,historical_data.csv
GRBK PRA,0,historical_data.csv
PSA PRG,2,historical_data.csv
EFSCP,11,historical_data.csv
CIM PRA,5,historical_data.csv
TBB,4,historical_data.csv
NEE PRN,4,historical_data.csv
COF PRI,10,historical_data.csv
HBANP,8,historical_data.csv
BAC PRN,2,historical_data.csv
SHO PRH,5,historical_data.csv
PSA PRR,2,historical_data.csv
MS PRO,2,historical_data.csv
CMSC,4,historical_data.csv
INN PRF,3,historical_data.csv
HWCPZ,5,historical_data.csv
CMSA,4,historical_data.csv
KEY PRJ,8,historical_data.csv
ELC,9,historical_data.csv
PEB PRE,11,historical_data.csv
JPM PRM,9,historical_data.csv
AMH PRG,7,historical_data.csv
JPM PRL,9,historical_data.csv
PSA PRS,2,historical_data.csv
KEY PRK,8,historical_data.csv
BOH PRA,8,historical_data.csv
DLR PRJ,2,historical_data.csv
MFA PRB,5,historical_data.csv
NSA PRA,5,historical_data.csv
SOJC,2,historical_data.csv
ASB PRE,1,historical_data.csv
DUK PRA,4,historical_data.csv
USB PRR,9,historical_data.csv
SCHW PRD,4,historical_data.csv
VNO PRN,6,historical_data.csv
COF PRL,10,historical_data.csv
USB PRS,9,historical_data.csv
BHFAP,8,historical_data.csv
USB PRP,2,historical_data.csv
EQH PRA,9,historical_data.csv
FITBP,4,historical_data.csv
GAB PRH,7,historical_data.csv
AXS PRE,9,historical_data.csv
ENO,4,historical_data.csv
SHO PRI,5,historical_data.csv
OPP PRA,7,historical_data.csv
FCNCP,1,historical_data.csv
UZE,6,historical_data.csv
WFC PRZ,9,historical_data.csv
NTRSO,9,historical_data.csv
VNO PRM,6,historical_data.csv
PSA PRQ,2,historical_data.csv
BFS PRD,11,historical_data.csv
DTG,9,historical_data.csv
WAFDP,8,historical_data.csv
CIO PRA,3,historical_data.csv
OPP PRB,7,historical_data.csv
GGT PRG,0,historical_data.csv
BAC PRO,2,historical_data.csv
OZKAP,8,historical_data.csv
PSEC PRA,3,historical_data.csv
WRB PRG,2,historical_data.csv
TRTX PRC,11,historical_data.csv
PSA PRO,2,historical_data.csv
VNO PRL,6,historical_data.csv
PSA PRL,2,historical_data.csv
AFGE,2,historical_data.csv
MGR,2,historical_data.csv
GGT PRE,0,historical_data.csv
DCOMP,3,historical_data.csv
FULTP,1,historical_data.csv
GPJA,2,historical_data.csv
AGM PRF,3,historical_data.csv
SLG PRI,1,historical_data.csv
JPM PRD,4,historical_data.csv
CFR PRB,1,historical_data.csv
UZD,8,historical_data.csv
PSA PRN,2,historical_data.csv
REXR PRC,7,historical_data.csv
BCV PRA,0,historical_data.csv
WRB PRH,10,historical_data.csv
GDV PRH,7,historical_data.csv
AGM PRE,11,historical_data.csv
FITBO,10,historical_data.csv
ENJ,11,historical_data.csv
REGCP,7,historical_data.csv
MS PRK,4,historical_data.csv
COF PRK,10,historical_data.csv
ADC PRA,5,historical_data.csv
PEB PRH,5,historical_data.csv
KIM PRM,2,historical_data.csv
MS PRL,2,historical_data.csv
GDV PRK,4,historical_data.csv
DLR PRK,2,historical_data.csv
PSA PRJ,2,historical_data.csv
WRB PRE,2,historical_data.csv
CLDT PRA,11,historical_data.csv
F PRB,9,historical_data.csv
DTW,2,historical_data.csv
NRUC,4,historical_data.csv
FHN PRF,6,historical_data.csv
BHFAO,1,historical_data.csv
BFS PRE,3,historical_data.csv
SCE PRG,1,historical_data.csv
BAC PRB,4,historical_data.csv
SR PRA,4,historical_data.csv
JPM PRJ,9,historical_data.csv
SF PRD,10,historical_data.csv
SCE PRL,2,historical_data.csv
CUBB,11,historical_data.csv
