PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
ABLLL,ABLLL,ABL,,BB,8.0,05/13/2025,2/15/2027,11/15/2028,0.62,9.88%,,,95.62,Insurance,,82.0,,,,,,25.49,,,26.12,26.23,-2.44,-2.86,24.09,38.5,24.09,38.5,25.42,1.33,-13.08,59.818622,56.858662,59.797753,,-13.08,1.33,,80.4,10200,13469,7763,10477
ABR PRD,ABR-D,ABR,,,8.0,06/17/2025,6/2/2026,NONE,0.4,6.38%,21.35,16.6,192.08,Reit,,27.0,,,,,,17.16,0.56,-4.19,17.81,18.37,-3.66,-6.59,16.75,19.98,15.9,19.98,16.88,0.13,-3.1,65.719468,70.079752,81.370787,50.137931,-3.1,0.98,44.694486,82.4,15971,14433,12136,14180
ABR PRE,ABR-E,ABR,,,8.0,06/17/2025,8/11/2026,NONE,0.39,6.25%,21.35,16.6,192.08,Reit,,27.0,,,,,,16.43,-0.17,-4.92,17.43,18.17,-5.72,-9.56,16.42,20.6,16.0,20.94,16.16,-0.26,-4.44,75.683192,80.607,88.382022,68.62069,-4.78,0.16,64.724292,87.085714,7954,9004,11560,9506
ABR PRF,ABR-F,ABR,,,8.0,07/11/2025,10/30/2026,NONE,0.39,6.25%,,,192.08,Reit,,51.0,,,,,,20.6,,,21.71,20.52,-5.12,0.37,18.4,23.3,17.15,23.3,20.43,2.03,-2.87,72.781137,45.409836,47.213483,46.965517,-2.87,3.28,41.95231,69.257143,21631,18065,9363,16353
ACR PRC,ACR-C,ACR,FF,,8.0,07/01/2025,7/30/2024,NONE,0.64,8.63%,,,7.39,Reit,,41.0,,,,,,24.84,,,24.79,24.82,0.22,0.07,22.61,25.53,19.75,25.53,24.49,1.88,-1.04,46.952842,46.473195,49.910112,21.724138,-1.04,4.74,20.134128,60.914286,8410,7710,6361,7494
ACR PRD,ACR-D,ACR,,,8.0,07/01/2025,5/21/2026,NONE,0.49,7.88%,20.5,18.57,7.39,Reit,,41.0,,,,,,20.78,2.21,0.28,21.46,22.1,-3.15,-5.97,18.12,23.64,16.75,24.49,20.51,2.39,-3.13,63.252721,67.882144,40.741573,50.551724,-3.98,3.76,55.186289,66.514286,6469,8111,6213,6931
AGNCL,AGNCL,AGNC,FF,,8.0,07/01/2025,10/15/2027,NONE,0.48,7.75%,,,1020.48,Reit,,41.0,,,,,,25.28,,,24.86,24.56,1.67,2.92,22.84,26.59,19.78,26.59,25.02,2.18,-1.57,39.939541,36.371289,44.516854,29.034483,-1.57,5.24,26.453055,58.057143,16823,15618,8920,13787
AGNCM,AGNCM,AGNC,FF,,8.0,07/01/2025,4/15/2024,NONE,0.56,6.88%,,,1020.48,Reit,,41.0,,,,,,24.71,,,24.92,25.08,-0.85,-1.49,23.01,25.63,20.47,25.85,24.41,1.4,-1.22,52.128174,52.002658,58.539326,24.206897,-1.44,3.94,24.90313,65.485714,14451,15540,7669,12553
AGNCN,AGNCN,AGNC,FF,,8.0,07/01/2025,10/15/2022,NONE,0.61,7.00%,,,1020.48,Reit,,41.0,,,,,,25.68,,,25.67,25.7,0.03,-0.07,23.63,26.59,23.63,26.59,25.35,1.72,-1.24,47.871826,46.969428,52.786517,24.482759,-1.24,1.72,22.518629,78.171429,22620,26489,9252,19454
AGNCO,AGNCO,AGNC,FF,,8.0,07/01/2025,10/15/2024,NONE,0.6,6.50%,,,1020.48,Reit,,41.0,,,,,,25.48,,,25.31,25.15,0.68,1.32,23.68,25.95,20.85,25.95,25.15,1.47,-0.8,44.727932,42.042534,57.280899,18.413793,-0.8,4.3,17.272727,63.428571,34306,32773,21619,29566
