"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"ABLLL","ABLLL","ABL","","BB","8.000000","05/13/2025","2/15/2027","11/15/2028","0.620000","9.88%","","","95.62","Insurance","","82.000000","","","","","","25.490000","","","26.120000","26.230000","-2.440000","-2.860000","24.090000","38.500000","24.090000","38.500000","25.420000","1.330000","-13.080000","59.818622","56.858662","59.797753","","-13.080000","1.330000","","80.400000"
"ABR PRD","ABR-D","ABR","","","8.000000","06/17/2025","6/2/2026","NONE","0.400000","6.38%","21.350000","16.600000","192.08","Reit","","27.000000","","","","","","17.160000","0.560000","-4.190000","17.810000","18.370000","-3.660000","-6.590000","16.750000","19.980000","15.900000","19.980000","16.880000","0.130000","-3.100000","65.719468","70.079752","81.370787","50.137931","-3.100000","0.980000","44.694486","82.400000"
"ABR PRE","ABR-E","ABR","","","8.000000","06/17/2025","8/11/2026","NONE","0.390000","6.25%","21.350000","16.600000","192.08","Reit","","27.000000","","","","","","16.430000","-0.170000","-4.920000","17.430000","18.170000","-5.720000","-9.560000","16.420000","20.600000","16.000000","20.940000","16.160000","-0.260000","-4.440000","75.683192","80.607000","88.382022","68.620690","-4.780000","0.160000","64.724292","87.085714"
"ABR PRF","ABR-F","ABR","","","8.000000","07/11/2025","10/30/2026","NONE","0.390000","6.25%","","","192.08","Reit","","51.000000","","","","","","20.600000","","","21.710000","20.520000","-5.120000","0.370000","18.400000","23.300000","17.150000","23.300000","20.430000","2.030000","-2.870000","72.781137","45.409836","47.213483","46.965517","-2.870000","3.280000","41.952310","69.257143"
"ACR PRC","ACR-C","ACR","FF","","8.000000","07/01/2025","7/30/2024","NONE","0.640000","8.63%","","","7.39","Reit","","41.000000","","","","","","24.840000","","","24.790000","24.820000","0.220000","0.070000","22.610000","25.530000","19.750000","25.530000","24.490000","1.880000","-1.040000","46.952842","46.473195","49.910112","21.724138","-1.040000","4.740000","20.134128","60.914286"
"ACR PRD","ACR-D","ACR","","","8.000000","07/01/2025","5/21/2026","NONE","0.490000","7.88%","20.500000","18.570000","7.39","Reit","","41.000000","","","","","","20.780000","2.210000","0.280000","21.460000","22.100000","-3.150000","-5.970000","18.120000","23.640000","16.750000","24.490000","20.510000","2.390000","-3.130000","63.252721","67.882144","40.741573","50.551724","-3.980000","3.760000","55.186289","66.514286"
"AGNCL","AGNCL","AGNC","FF","","8.000000","07/01/2025","10/15/2027","NONE","0.480000","7.75%","","","1020.48","Reit","","41.000000","","","","","","25.280000","","","24.860000","24.560000","1.670000","2.920000","22.840000","26.590000","19.780000","26.590000","25.020000","2.180000","-1.570000","39.939541","36.371289","44.516854","29.034483","-1.570000","5.240000","26.453055","58.057143"
"AGNCM","AGNCM","AGNC","FF","","8.000000","07/01/2025","4/15/2024","NONE","0.560000","6.88%","","","1020.48","Reit","","41.000000","","","","","","24.710000","","","24.920000","25.080000","-0.850000","-1.490000","23.010000","25.630000","20.470000","25.850000","24.410000","1.400000","-1.220000","52.128174","52.002658","58.539326","24.206897","-1.440000","3.940000","24.903130","65.485714"
"AGNCN","AGNCN","AGNC","FF","","8.000000","07/01/2025","10/15/2022","NONE","0.610000","7.00%","","","1020.48","Reit","","41.000000","","","","","","25.680000","","","25.670000","25.700000","0.030000","-0.070000","23.630000","26.590000","23.630000","26.590000","25.350000","1.720000","-1.240000","47.871826","46.969428","52.786517","24.482759","-1.240000","1.720000","22.518629","78.171429"
"AGNCO","AGNCO","AGNC","FF","","8.000000","07/01/2025","10/15/2024","NONE","0.600000","6.50%","","","1020.48","Reit","","41.000000","","","","","","25.480000","","","25.310000","25.150000","0.680000","1.320000","23.680000","25.950000","20.850000","25.950000","25.150000","1.470000","-0.800000","44.727932","42.042534","57.280899","18.413793","-0.800000","4.300000","17.272727","63.428571"
"AGNCP","AGNCP","AGNC","NFF","","8.000000","07/01/2025","4/15/2025","NONE","0.380000","6.13%","","","1020.48","Reit","","41.000000","","","","","","25.000000","","","24.880000","24.520000","0.500000","1.970000","23.370000","25.480000","19.610000","25.480000","24.790000","1.420000","-0.690000","45.598549","39.738591","58.179775","16.896552","-0.690000","5.180000","15.961252","58.400000"
"AHL PRF","AHL-F","-","","","10.000000","06/12/2025","11/30/2029","NONE","0.610000","7.00%","","","-","-","","22.000000","","","","","","25.210000","","","","","","","21.280000","26.210000","21.280000","26.210000","24.750000","3.470000","-1.460000","","","21.325843","27.517241","-1.460000","3.470000","25.141580","68.171429"
"ALL PRB","ALL-B","ALL","FF","","12.500000","06/27/2025","1/15/2023","1/15/2053","0.480000","5.10%","","","264.67","Insurance","","37.000000","","","","","","25.720000","","","26.000000","26.000000","-1.090000","-1.080000","25.010000","27.000000","25.010000","27.000000","25.440000","0.430000","-1.560000","53.288996","50.549402","75.977528","28.896552","-1.560000","0.430000","26.333830","85.542857"
"ALL PRJ","ALL-J","ALL","","","12.000000","06/27/2025","7/15/2028","NONE","0.460000","7.38%","","25.290000","264.67","Insurance","","37.000000","","","","","","26.450000","1.160000","","26.660000","27.010000","-0.790000","-2.070000","25.560000","28.220000","25.150000","28.220000","26.180000","0.620000","-2.040000","51.837969","54.058485","72.561798","35.517241","-2.040000","1.030000","32.056632","82.114286"
"ALTG PRA","ALTG-A","ALTG","","","8.000000","07/11/2025","12/22/2025","NONE","0.630000","10.00%","26.750000","25.750000","33.19","Rental&leasingservices","","51.000000","","","","","","24.400000","-1.350000","-2.350000","25.070000","25.500000","-2.670000","-4.330000","23.050000","26.250000","23.050000","27.000000","24.130000","1.080000","-2.120000","60.931076","62.069118","64.292135","36.620690","-2.870000","1.080000","41.952310","81.828571"
"ANG PRB","ANG-B","-","FF","","9.000000","05/16/2025","9/1/2025","NONE","0.410000","6.63%","","","-","-","","85.000000","","","","","","24.900000","","","25.110000","25.000000","-0.820000","-0.390000","24.550000","25.900000","22.000000","25.900000","24.880000","0.330000","-1.020000","51.983071","48.103677","77.775281","21.448276","-1.020000","2.880000","19.895678","71.542857"
"ANG PRD","ANG-D","-","","","9.000000","06/30/2025","1/15/2030","","0.490000","7.38%","","","-","-","","40.000000","","","","","","25.610000","","","","","","","23.540000","26.540000","23.540000","26.540000","25.340000","1.800000","-1.200000","","","51.348315","23.931034","-1.200000","1.800000","22.041729","77.714286"
"AOMN","AOMN","AOMR","","BB","8.000000","07/14/2025","7/30/2026","7/30/2029","0.590000","9.50%","","","23.50","Reit","","54.000000","","","","","","24.960000","","","","","","","23.600000","26.100000","23.600000","26.100000","24.720000","1.120000","-1.380000","","","63.573034","26.413793","-1.380000","1.120000","24.187779","81.600000"
