"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"ACGLN","ACGL","","12","12/13/2024","","","0.280000","4.55%","21.700000","16.620000","17.060000","0.440000","-4.640000","17.860000","19.120000","-4.500000","-10.760000","16.440000","20.990000","16.440000","21.220000","21.000000","16.850000","0.410000","-4.140000","71.610542","72.411348","75.704467","60.306306","-4.850000","0.230000","61.048593","69.977350","-4.370000","0.410000","63.284672","88.167239"
"ACGLO","ACGL","","11.5","12/13/2024","","","0.340000","5.45%","24.930000","19.340000","20.640000","1.300000","-4.290000","21.140000","22.280000","-2.350000","-7.370000","19.990000","23.930000","19.200000","24.500000","21.000000","20.380000","0.390000","-3.550000","59.019034","57.615930","76.254296","51.801802","-4.550000","1.040000","57.979540","62.638732","-4.120000","1.180000","59.635036","81.111111"
"ACP PRA","ACP","","15","12/16/2024","","","0.330000","5.25%","24.610000","21.470000","21.460000","-0.010000","-3.150000","21.710000","23.240000","-1.150000","-7.660000","20.210000","25.000000","19.650000","26.330000","24.000000","21.220000","1.010000","-3.780000","51.991215","58.881615","59.209622","55.117117","-3.390000","-0.250000","46.112532","74.326161","-5.110000","1.570000","74.087591","77.537228"
"ADC PRA","ADC","","11","10/22/2024","","","0.270000","4.25%","20.920000","15.830000","17.540000","1.710000","-3.380000","17.610000","18.440000","-0.390000","-4.890000","16.960000","21.940000","15.710000","21.940000","59.000000","17.450000","0.490000","-4.490000","47.540264","46.792144","73.505155","65.351351","-3.470000","1.620000","46.930946","57.383918","-4.490000","1.740000","65.036496","75.979381"
"AEFC","AEG","BB","12.5","11/29/2024","12/15/2024","","0.320000","5.10%","24.320000","18.560000","20.180000","1.620000","-4.140000","20.390000","21.200000","-1.010000","-4.830000","18.610000","22.900000","18.240000","22.900000","7.000000","19.880000","1.270000","-3.020000","51.171303","46.530278","52.061856","44.162162","-4.440000","1.320000","56.854220","60.101925","-3.020000","1.640000","43.576642","76.895762"
"AFGB","AFG","BB","11.5","12/13/2024","","","0.370000","5.88%","26.830000","21.400000","21.270000","-0.130000","-5.560000","22.090000","23.420000","-3.700000","-9.170000","20.680000","25.270000","20.680000","25.270000","21.000000","20.990000","0.310000","-4.280000","66.925329","65.471904","78.453608","62.324324","-5.840000","-0.410000","71.176471","75.775764","-4.280000","0.310000","61.970803","89.083620"
"AFGC","AFG","BB","11.5","11/29/2024","","","0.320000","5.13%","26.220000","18.460000","18.840000","0.380000","-7.380000","19.630000","20.950000","-4.040000","-10.080000","18.200000","23.420000","18.200000","23.420000","7.000000","18.540000","0.340000","-4.880000","68.916545","69.443535","77.628866","70.972973","-7.680000","0.080000","90.000000","71.336353","-4.880000","0.340000","70.729927","88.808706"
"AFGD","AFG","BB","11.5","11/15/2024","","","0.350000","5.63%","25.560000","20.360000","20.100000","-0.260000","-5.460000","21.310000","22.970000","-5.700000","-12.500000","18.190000","25.610000","18.190000","25.610000","83.000000","20.070000","1.880000","-5.540000","78.638360","80.005456","35.292096","80.486486","-5.490000","-0.290000","67.595908","74.688562","-5.540000","1.880000","80.364964","74.696449"
"AFGE","AFG","BB","11.5","11/29/2024","","","0.280000","4.50%","22.310000","16.580000","16.680000","0.100000","-5.630000","17.430000","18.800000","-4.300000","-11.290000","16.260000","21.210000","16.200000","21.780000","7.000000","16.420000","0.160000","-4.790000","70.439239","74.724495","82.577320","69.675676","-5.890000","-0.160000","71.687980","73.510759","-5.360000","0.220000","77.737226","89.908362"
"AGM PRD","AGM","","NR","12/27/2024","","","0.360000","5.70%","25.280000","21.040000","21.910000","0.870000","-3.370000","22.240000","23.000000","-1.500000","-4.730000","21.350000","24.860000","20.260000","25.700000","35.000000","21.690000","0.340000","-3.170000","54.040996","46.093835","77.628866","46.324324","-3.590000","0.650000","48.158568","66.172140","-4.010000","1.430000","58.029197","78.820160"
