PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,Normalized_COM_6M,Normalized_COM_3M,Normalized_52W_LOW,FINAL_THG,CS_FACTOR,Group,Normalized_THG,Normalized_ADV,Raw_Size,Recommended_Shares,Scaled_Shares,Final_Shares
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,41.0,,,,,,21.06,,,22.65,23.02,-7.01,-8.52,19.8,24.77,19.31,24.77,20.89,1.09,-3.88,81.92,76.92,64.11,60.9,-3.88,1.58,53.99,78.97,21954.0,18337.0,13940.0,18077.0,80.51,51.83,54.15,75.47,585.22,1.0,5.0,1.0,0.09676611561840577,819.3532231236812,800,2000,800
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,41.0,,,,,,21.06,,,22.65,23.02,-7.01,-8.52,19.8,24.77,19.31,24.77,20.89,1.09,-3.88,81.92,76.92,64.11,60.9,-3.88,1.58,53.99,78.97,21954.0,18337.0,13940.0,18077.0,80.51,51.83,54.15,75.47,585.22,1.0,5.0,1.0,0.09676611561840577,819.3532231236812,800,2000,800
F PRD,F-D,F,,BB,8.0,04/30/2025,8/15/2027,8/15/2062,0.4,6.50%,,20.79,3980.84,Automanufacturers,,69.0,,,,,,21.57,0.78,,23.17,24.5,-6.91,-11.97,20.85,26.06,20.1,26.19,21.48,0.63,-4.58,81.44,89.15,72.38,70.55,-4.71,1.38,63.89,80.11,41985.0,54825.0,58522.0,51777.0,58.12,59.86,88.46,71.39,564.71,1.0,5.0,0.8582987353660511,0.21498870951610716,729.6367301960623,700,1750,700
F PRD,F-D,F,,BB,8.0,04/30/2025,8/15/2027,8/15/2062,0.4,6.50%,,20.79,3980.84,Automanufacturers,,69.0,,,,,,21.57,0.78,,23.17,24.5,-6.91,-11.97,20.85,26.06,20.1,26.19,21.48,0.63,-4.58,81.44,89.15,72.38,70.55,-4.71,1.38,63.89,80.11,41985.0,54825.0,58522.0,51777.0,58.12,59.86,88.46,71.39,564.71,1.0,5.0,0.8582987353660511,0.21498870951610716,729.6367301960623,700,1750,700
MS PRA,MS-A,MS,FLR,,11.0,06/27/2025,7/15/2011,NONE,0.33,4.00%,,,1603.20,Bank,,37.0,,,,,,22.0,,,23.09,23.14,-4.71,-4.93,21.0,24.65,20.31,24.65,21.81,0.81,-2.84,70.8,64.2,69.15,46.55,-2.84,1.5,41.59,79.43,55342.0,46944.0,44951.0,49079.0,80.09,54.5,48.13,80.65,540.55,1.0,5.0,0.7009148781415939,0.20477870548769958,601.6876436108151,600,1500,600
MS PRA,MS-A,MS,FLR,,11.0,06/27/2025,7/15/2011,NONE,0.33,4.00%,,,1603.20,Bank,,37.0,,,,,,22.0,,,23.09,23.14,-4.71,-4.93,21.0,24.65,20.31,24.65,21.81,0.81,-2.84,70.8,64.2,69.15,46.55,-2.84,1.5,41.59,79.43,55342.0,46944.0,44951.0,49079.0,80.09,54.5,48.13,80.65,540.55,1.0,5.0,0.7009148781415939,0.20477870548769958,601.6876436108151,600,1500,600
USB PRH,USB-H,USB,FLR,,8.0,06/12/2025,4/15/2011,NONE,0.32,3.50%,,,1557.99,Regionalbank,,22.0,,,,,,21.0,,,22.09,21.89,-4.93,-4.07,18.91,24.0,17.27,24.0,20.76,1.85,-3.24,71.86,61.15,50.45,52.07,-3.24,3.49,46.36,68.06,65294.0,57311.0,65779.0,62795.0,66.87,37.84,52.64,71.44,502.56,1.0,5.0,0.47603249737079933,0.25782945931894197,432.39188976042794,400,1000,400
USB PRH,USB-H,USB,FLR,,8.0,06/12/2025,4/15/2011,NONE,0.32,3.50%,,,1557.99,Regionalbank,,22.0,,,,,,21.0,,,22.09,21.89,-4.93,-4.07,18.91,24.0,17.27,24.0,20.76,1.85,-3.24,71.86,61.15,50.45,52.07,-3.24,3.49,46.36,68.06,65294.0,57311.0,65779.0,62795.0,66.87,37.84,52.64,71.44,502.56,1.0,5.0,0.47603249737079933,0.25782945931894197,432.39188976042794,400,1000,400
ABR PRE,ABR-E,ABR,,,8.0,06/17/2025,8/11/2026,NONE,0.39,6.25%,21.35,16.6,192.08,Reit,,27.0,,,,,,16.43,-0.17,-4.92,17.43,18.17,-5.72,-9.56,16.42,20.6,16.0,20.94,16.16,-0.26,-4.44,75.68,80.61,88.38,68.62,-4.78,0.16,64.72,87.09,7954.0,9004.0,11560.0,9506.0,44.64,,,,499.07,1.0,2.0,0.4568614317009285,0.07056366654819544,379.6018786703819,400,1000,400
MGRE,MGRE,AMG,,BB,8.0,06/26/2025,3/30/2029,3/30/2064,0.42,6.75%,,,28.79,Assetmanagement,,36.0,,,,,,23.64,,,24.35,25.16,-2.92,-6.02,22.51,26.51,22.51,26.51,23.39,0.88,-3.12,62.14,68.06,67.89,50.41,-3.12,0.88,44.93,82.97,26792.0,27559.0,16106.0,23486.0,62.06,56.75,75.21,73.92,479.13,1.0,0.0,0.35251877967555534,0.11422559327452753,304.8601423953498,300,750,300
MGRE,MGRE,AMG,,BB,8.0,06/26/2025,3/30/2029,3/30/2064,0.42,6.75%,,,28.79,Assetmanagement,,36.0,,,,,,23.64,,,24.35,25.16,-2.92,-6.02,22.51,26.51,22.51,26.51,23.39,0.88,-3.12,62.14,68.06,67.89,50.41,-3.12,0.88,44.93,82.97,26792.0,27559.0,16106.0,23486.0,62.06,56.75,75.21,73.92,479.13,1.0,0.0,0.35251877967555534,0.11422559327452753,304.8601423953498,300,750,300
SCCG,SCCG,SACH,,BB,10.5,06/13/2025,8/23/2024,9/30/2027,0.5,8.00%,,22.8,47.31,Reit,,23.0,,,,,,19.28,-3.52,,20.48,21.96,-5.87,-12.21,18.8,24.33,18.8,24.45,18.91,0.11,-5.42,76.41,90.0,81.73,82.14,-5.54,0.11,73.79,87.37,6431.0,5825.0,1797.0,4684.0,28.32,,,,478.7,1.0,8.0,0.350369363297771,0.056715803108503896,291.6386512599176,300,750,300
ALL PRJ,ALL-J,ALL,,,12.0,06/27/2025,7/15/2028,NONE,0.46,7.38%,,25.29,264.67,Insurance,,37.0,,,,,,26.45,1.16,,26.66,27.01,-0.79,-2.07,25.56,28.22,25.15,28.22,26.18,0.62,-2.04,51.84,54.06,72.56,35.52,-2.04,1.03,32.06,82.11,38350.0,36839.0,37136.0,37442.0,79.5,66.55,78.73,75.8,473.73,1.0,0.0,0.32584677915573473,0.16211436837803833,293.10029700019544,300,750,300
ALL PRJ,ALL-J,ALL,,,12.0,06/27/2025,7/15/2028,NONE,0.46,7.38%,,25.29,264.67,Insurance,,37.0,,,,,,26.45,1.16,,26.66,27.01,-0.79,-2.07,25.56,28.22,25.15,28.22,26.18,0.62,-2.04,51.84,54.06,72.56,35.52,-2.04,1.03,32.06,82.11,38350.0,36839.0,37136.0,37442.0,79.5,66.55,78.73,75.8,473.73,1.0,0.0,0.32584677915573473,0.16211436837803833,293.10029700019544,300,750,300
BK PRK,BK-K,BK,NFF,,12.5,06/05/2025,3/20/2030,NONE,0.41,6.15%,,,715.58,Bank,,15.0,,,,,,25.51,,,,,,,24.54,25.83,24.54,25.83,25.17,0.63,-0.66,44.14,40.14,72.38,16.48,-0.66,0.63,15.6,84.4,277559.0,277559.0,98673.0,217930.0,80.47,,,,472.44,1.0,0.0,0.319579305636159,1.0000000000000002,455.6634445089273,500,1250,500
C PRN,C-N,C,,,10.0,07/25/2025,10/30/2015,10/30/2040,0.68,7.88%,,,1868.19,Bank,,65.0,,,,,,29.9,,,30.15,29.94,-0.83,-0.13,29.11,31.34,27.82,31.34,29.71,0.6,-1.63,52.03,47.18,72.92,29.86,-1.63,1.89,27.17,77.2,95421.0,98494.0,87344.0,93753.0,76.87,,,,465.93,1.0,9.0,0.28857709008194526,0.38693566091799686,308.24880424915557,300,750,300
BC PRC,BC-C,BC,,BB,11.5,06/29/2025,4/15/2024,4/15/2049,0.39,6.38%,25.99,22.33,65.69,Consumercyclical,,39.0,,,,,,22.88,0.55,-3.11,23.83,24.4,-4.0,-6.22,22.0,25.5,21.76,25.99,22.66,0.66,-2.84,67.36,68.77,71.84,46.55,-3.33,0.9,47.44,82.86,12433.0,13734.0,18951.0,15039.0,49.59,,,,459.15,1.0,5.0,0.2574301995861198,0.08726257976598695,223.39667562209323,200,500,200
TFINP,TFINP,TFIN,,,8.0,06/13/2025,6/30/2025,NONE,0.45,7.13%,25.47,19.2,23.50,Regionalbank,,23.0,,,,,,21.07,1.87,-4.4,22.3,22.58,-5.53,-6.7,20.26,24.4,17.07,24.4,20.73,0.47,-3.67,74.76,70.47,75.26,58.0,-3.67,3.66,51.49,67.09,2323.0,2428.0,2604.0,2452.0,41.76,,,,455.6,1.0,9.0,0.2416008829849375,0.05055152722697328,203.3910118333447,200,500,200
DBRG PRH,DBRG-H,DBRG,,,8.0,07/10/2025,4/15/2020,NONE,0.45,7.13%,24.5,21.28,176.33,Assetmanagement,,50.0,,,,,,,1.02,-2.2,23.55,23.9,-5.29,-6.69,20.74,25.8,17.91,25.8,22.1,1.36,-3.7,73.6,70.43,59.26,58.41,-3.7,4.19,51.85,64.06,10678.0,12224.0,34711.0,19204.0,42.16,,,,453.45,1.0,2.0,0.23217819768057968,0.10034834981547547,205.81222810755884,200,500,200
ABR PRD,ABR-D,ABR,,,8.0,06/17/2025,6/2/2026,NONE,0.4,6.38%,21.35,16.6,192.08,Reit,,27.0,,,,,,17.16,0.56,-4.19,17.81,18.37,-3.66,-6.59,16.75,19.98,15.9,19.98,16.88,0.13,-3.1,65.72,70.08,81.37,50.14,-3.1,0.98,44.69,82.4,15971.0,14433.0,12136.0,14180.0,44.64,,,,447.64,1.0,2.0,0.20734921044250246,0.08461715266344749,182.80279888669145,200,500,200
