PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group,Normalized_THG,Normalized_ADV,Raw_Size,Recommended_Shares,Scaled_Shares,Final_Shares
JPM PRM,JPM,,11.5,10/29/2024,,,0.26,4.2,20.7,17.17,17.71,0.54,-2.99,18.44,19.29,-3.93,-8.19,17.44,21.68,16.96,21.68,66.0,17.64,0.2,-4.04,68.27,61.19,81.48,58.86,-3.06,0.47,42.74,67.8,-4.04,0.68,58.47,85.69,180226.0,176375.0,181594.0,179398.0,81.65,0.06,487.11,2.07,702.15,9,1.0,1.0000000000000002,1000.0,1000,1250,850
JPM PRK,JPM,,11.5,10/29/2024,,,0.28,4.55,21.65,18.67,18.92,0.24,-2.74,19.81,20.68,-4.53,-8.57,18.66,23.04,18.32,23.04,66.0,18.84,0.18,-4.2,71.79,62.85,82.03,61.17,-2.81,0.17,40.18,70.52,-4.2,0.52,60.8,87.16,133440.0,122843.0,179509.0,145264.0,81.65,0.06,485.06,2.07,702.15,9,0.9757819755254193,0.7816996693992952,936.9655143001945,900,1100,750
SREA,SRE,BB,11.5,12/13/2024,,,0.36,5.75,25.24,21.16,20.5,-0.66,-4.74,21.97,23.42,-6.69,-12.48,19.6,25.24,19.6,25.47,21.0,20.22,0.62,-5.02,84.44,79.92,69.93,72.99,-5.02,-0.94,62.79,80.58,-5.25,0.62,76.13,86.24,55902.0,62776.0,57957.0,58878.0,71.57,0.07,484.68,2.07,702.15,2,0.971314564254891,0.29464836166610586,835.9813237371341,800,1000,700
WRB PRG,WRB,BB,11.5,12/13/2024,,,0.27,4.25,21.25,17.35,16.37,-0.98,-4.88,17.24,18.67,-5.07,-12.32,15.95,21.1,15.95,22.29,21.0,16.16,0.21,-4.94,74.95,79.22,81.2,71.84,-5.09,-1.19,63.5,82.84,-6.13,0.21,88.98,90.0,7005.0,7621.0,6995.0,7207.0,73.47,0.06,472.82,2.07,702.15,2,0.8353767747008282,0.07005388486644654,682.312196733952,700,900,650
WRB PRH,WRB,BB,11.5,12/13/2024,,,0.26,4.13,20.85,15.6,15.97,0.37,-4.88,16.98,18.24,-5.96,-12.44,15.55,21.15,15.4,21.15,21.0,15.77,0.22,-5.38,80.16,79.74,80.93,78.18,-5.08,0.17,63.4,70.52,-5.38,0.37,78.03,88.53,11033.0,11602.0,16861.0,13165.0,73.47,0.06,471.56,2.07,702.15,10,0.8213402038097056,0.09196199860555325,675.4645627688751,700,900,650
BHFAO,BHF,,10,12/6/2024,6/25/2025,,0.42,6.75,26.51,21.17,20.15,-1.02,-6.36,21.1,23.43,-4.52,-14.01,18.53,26.0,18.53,26.0,14.0,19.8,1.27,-6.2,71.73,86.6,52.06,90.0,-6.71,-1.37,80.08,84.47,-6.2,1.27,90.0,80.29,32342.0,41254.0,37178.0,36925.0,61.22,0.08,469.52,2.07,702.15,1,0.7987831019565566,0.1907994190546157,677.1863653761685,700,900,650
BAC PRQ,BAC,,11,11/1/2024,,,0.27,4.25,20.46,16.11,16.97,0.86,-3.49,17.94,18.74,-5.38,-9.46,16.74,21.0,15.98,21.0,69.0,16.91,0.17,-4.09,76.76,66.74,82.3,59.59,-3.55,0.8,47.75,64.81,-4.09,0.93,59.2,83.4,98613.0,94976.0,100299.0,97963.0,78.1,0.06,469.24,2.07,702.15,2,0.7957034034156498,0.5016894366411675,736.9006100607534,700,900,650
SOJE,SO,BB,11.5,1/10/2025,,,0.26,4.2,20.96,17.42,17.64,0.19,-3.35,18.27,19.62,-3.61,-10.22,17.28,22.35,17.28,22.35,49.0,17.49,0.21,-4.86,66.4,70.05,81.2,70.68,-3.47,0.07,46.93,71.43,-4.86,0.21,70.44,90.0,54164.0,56350.0,40130.0,50214.0,79.52,0.06,469.21,2.07,702.15,9,0.7953736709784712,0.2524360319429253,686.7861431713621,700,900,650
BHFAP,BHF,,10,12/6/2024,,,0.41,6.6,26.1,20.01,19.69,-0.32,-6.41,20.68,22.68,-4.77,-13.19,18.38,25.51,18.38,25.51,14.0,19.34,0.96,-6.17,73.19,83.02,60.58,89.57,-6.76,-0.67,80.59,78.13,-6.17,0.96,89.56,83.13,31097.0,36176.0,33633.0,33635.0,61.22,0.08,468.25,2.07,702.15,8,0.7848463224187099,0.1761780535046853,663.112668635905,700,900,650
F PRB,F,BB,9.5,11/12/2024,6/1/2024,,0.39,6.2,26.79,20.83,20.44,-0.39,-6.35,22.12,23.59,-7.58,-13.35,19.9,25.39,19.9,25.64,80.0,20.4,0.5,-4.99,89.65,83.72,73.23,72.56,-6.39,-0.43,76.8,75.96,-5.24,0.5,75.99,87.34,41036.0,43836.0,41555.0,42143.0,56.6,0.08,465.44,2.07,702.15,9,0.7543020006130196,0.21452511982638597,646.3466244556929,600,750,500
