PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE
ACGLN,ACGLN,ACGL,,,12,12/13/2024,,,0.28,4.55%,21.07,16.62,374.7753462,Insurance,,,
ACGLO,ACGLO,ACGL,,,11.5,12/13/2024,,,0.34,5.45%,24.93,19.34,374.7753462,Insurance,,,
ACP PRA,ACP-A,ACP,,,15,12/16/2024,,,0.33,5.25%,24.61,21.47,125.4710884,CEF,,,
ADC PRA,ADC-A,ADC,,,11,10/22/2024,,,0.27,4.25%,20.92,15.83,109.9839829,REIT,,,
AEFC,AEFC,AEG,,BB,12.5,11/29/2024,12/15/2024,,0.32,5.10%,24.32,18.56,1583.212735,Insurance,,,
AFGB,AFGB,AFG,,BB,11.5,12/13/2024,,,0.37,5.88%,26.83,21.04,83.55709998,Insurance,,,
AFGC,AFGC,AFG,,BB,11.5,11/29/2024,,,0.32,5.13%,26.22,18.46,83.55709998,Insurance,,,
AFGD,AFGD,AFG,,BB,11.5,11/15/2024,,,0.35,5.63%,25.56,20.36,83.55709998,Insurance,,,
AFGE,AFGE,AFG,,BB,11.5,11/29/2024,,,0.28,4.50%,22.31,16.58,83.55709998,Insurance,,,
AGM PRD,AGM-D,AGM,,,8,12/27/2024,,,0.36,5.70%,25.28,21.04,10.6899401,Credit Services,,,
AGM PRE,AGM-E,AGM,,,8,12/27/2024,,,0.36,5.75%,24.09,21.55,10.6899401,Credit Services,,,
AGM PRF,AGM-F,AGM,,,8,12/27/2024,,,0.33,5.25%,22.05,19.09,10.6899401,Credit Services,,,
AGM PRG,AGM-G,AGM,,,8,12/27/2024,,,0.3,4.88%,21.08,18.02,10.6899401,Credit Services,,,
AHH PRA,AHH-A,AHH,,,8,01/02/2025,,,0.42,6.75%,26.43,20.05,101.3464141,REIT,,,
AIZN,AIZN,AIZ,,BB,10,12/27/2024,,,0.33,5.25%,24,17.74,50.70923738,Insurance,,,
ALL PRH,ALL-H,ALL,,,12,12/27/2024,,,0.32,5.10%,24.78,18.74,264.8043624,Insurance,,,
ALL PRI,ALL-I,ALL,,,12,12/27/2024,,,0.3,4.75%,24.92,17.85,264.8043624,Insurance,,,
AMH PRG,AMH-G,AMH,,,9,12/13/2024,,,0.37,5.88%,25.47,21.43,370.2556158,REIT,,,
AMH PRH,AMH-H,AMH,,,9,12/13/2024,,,0.39,6.25%,25.85,22.38,370.2556158,REIT,,,
ASB PRE,ASB-E,ASB,,,10,05/30/2025,,,0.37,5.88%,25.01,16.77,165.9802306,REGIONAL BANK,,,
ASB PRF,ASB-F,ASB,,,10,05/30/2025,,,0.35,5.63%,25.25,16.04,165.9802306,REGIONAL BANK,,,
ATH PRB,ATH-B,-,,,11,12/13/2024,,,0.35,5.63%,25.26,18,#VALUE!,,,,
ATH PRD,ATH-D,-,,,11,12/13/2024,,,0.3,4.88%,21.69,15.24,#VALUE!,,,,
AXS PRE,AXS-E,AXS,,,11.5,12/26/2024,,,0.34,5.50%,24.04,19.26,78.63414634,Insurance,,,
BAC PRB,BAC-B,BAC,,,11,10/29/2024,6/16/2023,,0.38,6.00%,25.69,23.02,7531.886328,BANK,,,
BAC PRK,BAC-K,BAC,,,11,01/02/2025,,,0.37,5.88%,25.68,22,7531.886328,BANK,,,
BAC PRM,BAC-M,BAC,,,11,05/30/2025,,,0.34,5.38%,25.18,20.07,7531.886328,BANK,,,
BAC PRN,BAC-N,BAC,,,11,05/30/2025,,,0.31,5.00%,23.09,19.25,7531.886328,BANK,,,
BAC PRO,BAC-O,BAC,,,11,10/15/2024,,,0.27,4.38%,21.39,16.54,7531.886328,BANK,,,
BAC PRP,BAC-P,BAC,,,11,10/15/2024,,,0.26,4.12%,20.08,15.57,7531.886328,BANK,,,
BAC PRQ,BAC-Q,BAC,,,11,01/30/2025,,,0.27,4.25%,20.46,16.11,7531.886328,BANK,,,
BAC PRS,BAC-S,BAC,,,11,01/30/2025,,,0.3,4.75%,22.49,18.24,7531.886328,BANK,,,
BCV PRA,BCV-A,BCV,,,16,12/16/2024,,,0.34,5.39%,24.69,22.15,5.862126246,CEF,,,
BFS PRD,BFS-D,BFS,,,8,12/27/2024,,,0.38,6.13%,24.15,19.03,24.21546961,REIT,,,
BFS PRE,BFS-E,BFS,,,8,12/27/2024,,,0.38,6.00%,24.06,18.93,24.21546961,REIT,,,
BHFAL,BHFAL,BHF,,BB,10.5,02/28/2025,9/15/2023,,0.39,6.25%,26.35,20.69,57.3864568,Insurance,,,
BHFAM,BHFAM,BHF,,,10.5,03/09/2025,,,0.29,4.63%,21.13,13.35,57.3864568,Insurance,,,
BHFAN,BHFAN,BHF,,,10,03/09/2025,,,0.34,5.38%,22.69,15.27,57.3864568,Insurance,,,
BHFAO,BHFAO,BHF,,,10,03/09/2025,6/25/2025,,0.42,6.75%,26.51,21.17,57.3864568,Insurance,,,
BHFAP,BHFAP,BHF,,,10,03/09/2025,,,0.41,6.60%,26.01,20.01,57.3864568,Insurance,,,
BOH PRA,BOH-A,BOH,,,12,10/17/2024,8.01.2026,,0.27,4.38%,20.44,13.05,39.71428571,REGIONAL BANK,,,
BWBBP,BWBBP,BWB,,,8,05/15/2025,8/17/2026,,0.37,5.88%,23.52,16.57,27.43977055,REGIONAL BANK,,,
CADE PRA,CADE-A,CADE,,,8,05/01/2025,11/20/2024,,0.34,5.50%,24.16,16.69,182.5895663,REGIONAL BANK,,,
CFG PRE,CFG-E,CFG,,,10,12/18/2024,,,0.31,5.00%,22.34,16.02,433.7637494,REGIONAL BANK,,,
CFR PRB,CFR-B,CFR,,,11.5,11/27/2024,,,0.28,4.45%,21.08,15.89,64.28244624,REGIONAL BANK,,,
CIM PRA,CIM-A,CIM,,,8,06/02/2025,10/21/2021,,0.5,8.00%,22.82,18.15,81.1965812,REIT,,,
CIO PRA,CIO-A,CIO,,,8,01/08/2025,9/15/2021,,0.41,6.63%,24,15.06,40.3582996,REIT,,,
CLDT PRA,CLDT-A,CLDT,,,8,12/27/2024,,,0.41,6.63%,24.33,19.64,48.98482759,REIT,,,
CMS PRC,CMS-C,CMS,,,10.5,01/02/2025,,,0.26,4.20%,20.81,17.98,299.146495,Utilities,,,
CMSA,CMSA,CMS,,BB,11.5,11/29/2024,3/15/2023,,0.35,5.63%,26.19,21.25,299.146495,Utilities,,,
CMSC,CMSC,CMS,,BB,11.5,12/27/2024,10/15/2023,,0.37,5.88%,25.19,21.74,299.146495,Utilities,,,
CMSD,CMSD,CMS,,BB,11.5,11/15/2024,,,0.37,5.88%,25.59,21.91,299.146495,Utilities,,,
CNO PRA,CNO-A,CNO,,BB,8,11/15/2024,11/25/2025,,0.32,5.13%,22.08,14.95,99.04318593,Insurance,,,
COF PRI,COF-I,COF,,,10,11/13/2024,,,0.31,5.00%,23.21,16.12,383.1254437,Credit Services,,,
COF PRJ,COF-J,COF,,,10,11/13/2024,,,0.3,4.80%,21.09,15.54,383.1254437,Credit Services,,,
COF PRK,COF-K,COF,,,10,11/13/2024,,,0.29,4.63%,22.17,14.99,383.1254437,Credit Services,,,
COF PRL,COF-L,COF,,,10,11/13/2024,,,0.27,4.38%,20.06,13.84,383.1254437,Credit Services,,,
COF PRN,COF-N,COF,,,10,11/13/2024,,,0.27,4.25%,19.94,13.68,383.1254437,Credit Services,,,
CUBB,CUBB,CUBI,,BB,8,12/13/2024,,,0.34,5.38%,23.56,18.75,31.55384333,REGIONAL BANK,,,
DCOMP,DCOMP,DCOM,,,8,05/06/2025,2/15/2025,,0.34,5.50%,22.38,14.51,43.71785452,REGIONAL BANK,,,
DLR PRJ,DLR-J,DLR,,,10.5,12/13/2024,,,0.33,5.25%,25.38,19.55,336.783299,REIT,,,
DLR PRK,DLR-K,DLR,,,10.5,12/13/2024,,,0.37,5.88%,26.04,22,336.783299,REIT,,,
DLR PRL,DLR-L,DLR,,,10.5,12/13/2024,,,0.33,5.20%,25.37,19.32,336.783299,REIT,,,
DTB,DTB,DTE,,BB,11.5,12/27/2024,,,0.27,4.38%,22.29,17.03,207.5034403,Utilities,,,
DTG,DTG,DTE,,BB,11.5,11/15/2024,,,0.27,4.38%,20.89,17.32,207.5034403,Utilities,,,
DTW,DTW,DTE,,BB,11.5,11/15/2024,,,0.33,5.25%,25.42,20.88,207.5034403,Utilities,,,
DUK PRA,DUK-A,DUK,,,11,11/15/2024,,,0.36,5.75%,26.49,22.91,777.2234646,Utilities,,,
DUKB,DUKB,DUK,,BB,12,12/13/2024,,,0.35,5.63%,26.08,21.93,777.2234646,Utilities,,,
ECF PRA,ECF-A,ECF,,,16,12/16/2024,,,0.33,5.25%,24.84,21.83,13.68307692,CEF,,,
EFSCP,EFSCP,EFSC,,,8,11/27/2024,,,0.31,5.00%,21.75,15.04,36.96211843,REGIONAL BANK,,,
ELC,ELC,ETR,,BB,15,11/29/2024,,,0.3,4.88%,25.03,20.02,430.7192687,Utilities,,,
EMP,EMP,ETR,,BB,14.5,12/27/2024,,,0.31,4.90%,25.03,20.07,430.7192687,Utilities,,,
ENJ,ENJ,ETR,,BB,14.5,11/29/2024,,,0.31,5.00%,24.79,19.49,430.7192687,Utilities,,,
ENO,ENO,ETR,,BB,13,12/27/2024,,,0.34,5.50%,25.04,20.75,430.7192687,Utilities,,,
