"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020","52W_HIGH_CHG","5Y_HIGH_CHG","52W_LOW_CHG","5Y_LOW_CHG","5Y_CHG","5Y CHG SKOR","52W_CHG","52W CHG SKOR","TOTAL_HIGH_SCORE","3M_PERF","6M_PERF","RECENT_TOTAL","MKTCAP_NORM","CRDT_NORM","SOLIDITY_SCORE","H2020_SKOR","H2020_NORM","L2020_SKOR","L2020_NORM","COM_6M_NORM","COM_3M_NORM","MKTCAP_RANGE"
"ACGLN","ACGL","","12","12/13/2024","","","0.280000","4.55%","21.700000","16.620000","17.060000","0.440000","-4.640000","17.860000","19.120000","-4.500000","-10.760000","16.440000","20.990000","16.440000","21.220000","21.000000","16.850000","95.160000","82.490000","116.470000","98.590000","88.690000","26.110000","116.470000","35.660000","12.000000","46.780000","25.970000","2.644581","-0.182966","0.153594","-0.182966","-0.034791","0.072951","1.034203","2.664228","90.000000","73.533099","22.287550","73.533099","0.069895","2.491344","118.915669","137.154685","85.110474","90.214507","60.545586","35.970656","54.620604","74.632814","50.983183","43.524568","-0.182966","-0.182966","0.153594","2.644581","2.644581","40.593841","0.153594","19.063983","73.533099","0.072951","-0.034791","0.038160","70.905500","50.500000","68.637046","37.704108","48.640263","36.630348","49.214179","59.989524","77.783692","<1B USD"
"ACGLO","ACGL","","11.5","12/13/2024","","","0.340000","5.45%","24.930000","19.340000","20.640000","1.300000","-4.290000","21.140000","22.280000","-2.350000","-7.370000","19.990000","23.930000","19.200000","24.500000","21.000000","20.380000","95.160000","82.490000","116.470000","98.590000","88.690000","26.110000","116.470000","35.660000","12.000000","46.780000","25.970000","2.644581","-0.182966","0.153594","-0.182966","-0.034791","0.072951","1.034203","2.664228","90.000000","73.533099","22.287550","73.533099","0.069895","2.491344","118.915669","137.154685","85.110474","90.214507","60.545586","35.970656","54.620604","74.632814","50.983183","43.524568","-0.182966","-0.182966","0.153594","2.644581","2.644581","40.593841","0.153594","19.063983","73.533099","0.072951","-0.034791","0.038160","70.905500","50.500000","68.637046","37.704108","48.640263","36.630348","49.214179","59.989524","77.783692","<1B USD"
"ACP PRA","ACP","","15","12/16/2024","","","0.330000","5.25%","24.610000","21.470000","21.460000","-0.010000","-3.150000","21.710000","23.240000","-1.150000","-7.660000","20.210000","25.000000","19.650000","26.330000","24.000000","21.220000","5.890000","4.920000","7.030000","6.410000","6.230000","4.920000","12.410000","0.739020","15.000000","11.650000","6.700000","0.197154","-0.525383","0.197154","-0.162162","-0.081123","-0.054575","-0.494421","-0.120896","25.772358","42.715552","25.772358","75.405405","-1.133529","-0.776135","13.460883","13.903396","46.569321","57.093400","65.155378","39.139877","46.318051","51.721362","6.657941","5.310723","-0.162162","-0.525383","0.197154","0.197154","0.197154","11.901044","0.197154","22.393213","59.060479","-0.054575","-0.081123","-0.135698","38.695100","80.200000","55.936490","28.816358","37.410327","28.555313","38.585528","52.669261","57.718090","<1B USD"
"ADC PRA","ADC","","11","10/22/2024","","","0.270000","4.25%","20.920000","15.830000","17.540000","1.710000","-3.380000","17.610000","18.440000","-0.390000","-4.890000","16.960000","21.940000","15.710000","21.940000","59.000000","17.450000","75.700000","58.520000","79.650000","77.120000","71.330000","52.690000","80.440000","8.330000","11.000000","77.460000","52.710000","0.436705","-0.058926","0.293575","-0.049592","-0.018413","0.061265","-0.022721","0.436160","44.936421","84.696668","33.485988","85.536723","0.495281","2.191918","44.140458","38.555023","57.740074","6.663699","72.861014","91.597734","57.555390","72.533252","19.553321","12.953917","-0.049592","-0.058926","0.293575","0.436705","0.436705","14.709457","0.293575","29.762472","85.116696","0.061265","-0.018413","0.042852","56.660000","40.600000","65.966412","43.507398","55.972893","44.737246","59.884770","62.577090","75.944918","<1B USD"
"AEFC","AEG","BB","12.5","11/29/2024","12/15/2024","","0.320000","5.10%","24.320000","18.560000","20.180000","1.620000","-4.140000","20.390000","21.200000","-1.010000","-4.830000","18.610000","22.900000","18.240000","22.900000","7.000000","19.880000","7.010000","5.420000","7.030000","6.260000","6.750000","2.310000","138.840100","11.100000","12.500000","","","2.034632","-0.949510","0.293358","-0.002845","0.119808","0.038519","","","90.000000","10.000000","33.468635","89.743954","4.085373","1.609116","","","81.040678","1.000000","72.846364","82.920570","82.323828","68.446657","","","-0.002845","-0.949510","0.293358","2.034632","2.034632","33.443010","0.293358","29.745894","49.871977","0.038519","0.119808","0.158327","60.467500","55.450000","56.730927","0.000000","1.000000","0.000000","1.000000","84.415129","72.365923","<1B USD"
"AFGB","AFG","BB","11.5","12/13/2024","","","0.370000","5.88%","26.830000","21.400000","21.270000","-0.130000","-5.560000","22.090000","23.420000","-3.700000","-9.170000","20.680000","25.270000","20.680000","25.270000","21.000000","20.990000","127.140000","114.730000","150.190000","143.790000","121.900000","56.730000","152.290000","10.620000","11.500000","112.940000","51.160000","1.241142","-0.165145","0.108167","-0.153472","-0.115794","0.042986","0.125730","1.485145","90.000000","75.136910","18.653360","76.187496","-2.034047","1.723584","54.643124","84.976195","73.421840","92.288507","3.352300","40.463708","40.105275","69.249303","23.967850","27.346719","-0.153472","-0.165145","0.108167","1.241142","1.241142","24.140404","0.108167","15.592040","75.662203","0.042986","-0.115794","-0.072808","60.263500","45.550000","65.678708","48.876489","62.756900","44.332651","59.352228","47.191530","73.068871","<1B USD"
"AFGC","AFG","BB","11.5","11/29/2024","","","0.320000","5.13%","26.220000","18.460000","18.840000","0.380000","-7.380000","19.630000","20.950000","-4.040000","-10.080000","18.200000","23.420000","18.200000","23.420000","7.000000","18.540000","127.140000","114.730000","150.190000","143.790000","121.900000","56.730000","152.290000","10.620000","11.500000","112.940000","51.160000","1.241142","-0.165145","0.108167","-0.153472","-0.115794","0.042986","0.125730","1.485145","90.000000","75.136910","18.653360","76.187496","-2.034047","1.723584","54.643124","84.976195","73.421840","92.288507","3.352300","40.463708","40.105275","69.249303","23.967850","27.346719","-0.153472","-0.165145","0.108167","1.241142","1.241142","24.140404","0.108167","15.592040","75.662203","0.042986","-0.115794","-0.072808","60.263500","45.550000","65.678708","48.876489","62.756900","44.332651","59.352228","47.191530","73.068871","<1B USD"
"AFGD","AFG","BB","11.5","11/15/2024","","","0.350000","5.63%","25.560000","20.360000","20.100000","-0.260000","-5.460000","21.310000","22.970000","-5.700000","-12.500000","18.190000","25.610000","18.190000","25.610000","83.000000","20.070000","127.140000","114.730000","150.190000","143.790000","121.900000","56.730000","152.290000","10.620000","11.500000","112.940000","51.160000","1.241142","-0.165145","0.108167","-0.153472","-0.115794","0.042986","0.125730","1.485145","90.000000","75.136910","18.653360","76.187496","-2.034047","1.723584","54.643124","84.976195","73.421840","92.288507","3.352300","40.463708","40.105275","69.249303","23.967850","27.346719","-0.153472","-0.165145","0.108167","1.241142","1.241142","24.140404","0.108167","15.592040","75.662203","0.042986","-0.115794","-0.072808","60.263500","45.550000","65.678708","48.876489","62.756900","44.332651","59.352228","47.191530","73.068871","<1B USD"
"AFGE","AFG","BB","11.5","11/29/2024","","","0.280000","4.50%","22.310000","16.580000","16.680000","0.100000","-5.630000","17.430000","18.800000","-4.300000","-11.290000","16.260000","21.210000","16.200000","21.780000","7.000000","16.420000","127.140000","114.730000","150.190000","143.790000","121.900000","56.730000","152.290000","10.620000","11.500000","112.940000","51.160000","1.241142","-0.165145","0.108167","-0.153472","-0.115794","0.042986","0.125730","1.485145","90.000000","75.136910","18.653360","76.187496","-2.034047","1.723584","54.643124","84.976195","73.421840","92.288507","3.352300","40.463708","40.105275","69.249303","23.967850","27.346719","-0.153472","-0.165145","0.108167","1.241142","1.241142","24.140404","0.108167","15.592040","75.662203","0.042986","-0.115794","-0.072808","60.263500","45.550000","65.678708","48.876489","62.756900","44.332651","59.352228","47.191530","73.068871","<1B USD"
"AGM PRD","AGM","","NR","12/27/2024","","","0.360000","5.70%","25.280000","21.040000","21.910000","0.870000","-3.370000","22.240000","23.000000","-1.500000","-4.730000","21.350000","24.860000","20.260000","25.700000","35.000000","21.690000","192.220000","159.630000","217.600000","203.840000","198.420000","57.050000","217.600000","2.050000","","73.290000","43.020000","2.369325","-0.116636","0.204160","-0.116636","-0.057005","-0.031247","1.622732","3.468154","90.000000","79.502757","26.332770","79.502757","-0.507106","-0.178426","160.552887","172.731192","83.402586","97.934288","65.814849","46.075392","50.639813","55.912478","68.484331","54.555001","-0.116636","-0.116636","0.204160","2.369325","2.369325","37.366839","0.204160","22.928606","79.502757","-0.031247","-0.057005","-0.088252","42.625000","","","42.793378","55.070708","42.093218","56.404606","56.479707","61.388623","<1B USD"
