PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,COM_LAST_PRICE,COM_52W_LOW,COM_52W_HIGH,COM_6M_PRICE,COM_3M_PRICE,COM_5Y_LOW,COM_5Y_HIGH,COM_MKTCAP,CRDT_SCORE,COM_FEB2020_PRICE,COM_MAR2020_PRICE,COM_5Y_LOW_CHG,COM_5Y_HIGH_CHG,COM_52W_LOW_CHG,COM_52W_HIGH_CHG,COM_6M_CHG,COM_3M_CHG,COM_FEB2020_CHG,COM_MAR2020_CHG,5Y_LOW_SKOR,5Y_HIGH_SKOR,52W_LOW_SKOR,52W_HIGH_SKOR,COM_6M_SKOR,COM_3M_SKOR,FEB2020_SKOR,MAR2020_SKOR,Normalized_5Y_LOW,Normalized_5Y_HIGH,Normalized_52W_LOW,Normalized_52W_HIGH,Normalized_COM_6M,Normalized_COM_3M,Normalized_FEB2020,Normalized_MAR2020,52W_HIGH_CHG,5Y_HIGH_CHG,52W_LOW_CHG,5Y_LOW_CHG,5Y_CHG,5Y CHG SKOR,52W_CHG,52W CHG SKOR,TOTAL_HIGH_SCORE,3M_PERF,6M_PERF,RECENT_TOTAL,MKTCAP_NORM,CRDT_NORM,SOLIDITY_SCORE,H2020_SKOR,H2020_NORM,L2020_SKOR,L2020_NORM,COM_6M_NORM,COM_3M_NORM,MKTCAP_RANGE
ACGLN,ACGL,,12,12/13/2024,,,0.28,4.55%,21.70,16.62,17.06,0.44,-4.64,17.86,19.12,-4.50,-10.76,16.44,20.99,16.44,21.22,21.00,16.85,95.16,82.49,116.47,98.59,88.69,26.11,116.47,35.66,12.00,46.78,25.97,2.64,-0.18,0.15,-0.18,-0.03,0.07,1.03,2.66,90.00,73.53,22.29,73.53,0.07,2.49,118.92,137.15,85.11,90.21,60.55,35.97,54.62,74.63,50.98,43.52,-0.18,-0.18,0.15,2.64,2.64,40.59,0.15,19.06,73.53,0.07,-0.03,0.04,70.91,50.50,68.64,37.70,48.64,36.63,49.21,59.99,77.78,<1B USD
ACGLO,ACGL,,11.5,12/13/2024,,,0.34,5.45%,24.93,19.34,20.64,1.30,-4.29,21.14,22.28,-2.35,-7.37,19.99,23.93,19.20,24.50,21.00,20.38,95.16,82.49,116.47,98.59,88.69,26.11,116.47,35.66,12.00,46.78,25.97,2.64,-0.18,0.15,-0.18,-0.03,0.07,1.03,2.66,90.00,73.53,22.29,73.53,0.07,2.49,118.92,137.15,85.11,90.21,60.55,35.97,54.62,74.63,50.98,43.52,-0.18,-0.18,0.15,2.64,2.64,40.59,0.15,19.06,73.53,0.07,-0.03,0.04,70.91,50.50,68.64,37.70,48.64,36.63,49.21,59.99,77.78,<1B USD
ACP PRA,ACP,,15,12/16/2024,,,0.33,5.25%,24.61,21.47,21.46,-0.01,-3.15,21.71,23.24,-1.15,-7.66,20.21,25.00,19.65,26.33,24.00,21.22,5.89,4.92,7.03,6.41,6.23,4.92,12.41,0.74,15.00,11.65,6.70,0.20,-0.53,0.20,-0.16,-0.08,-0.05,-0.49,-0.12,25.77,42.72,25.77,75.41,-1.13,-0.78,13.46,13.90,46.57,57.09,65.16,39.14,46.32,51.72,6.66,5.31,-0.16,-0.53,0.20,0.20,0.20,11.90,0.20,22.39,59.06,-0.05,-0.08,-0.13,38.70,80.20,55.94,28.82,37.41,28.56,38.59,52.67,57.72,<1B USD
ADC PRA,ADC,,11,10/22/2024,,,0.27,4.25%,20.92,15.83,17.54,1.71,-3.38,17.61,18.44,-0.39,-4.89,16.96,21.94,15.71,21.94,59.00,17.45,75.70,58.52,79.65,77.12,71.33,52.69,80.44,8.33,11.00,77.46,52.71,0.44,-0.06,0.29,-0.05,-0.02,0.06,-0.02,0.44,44.94,84.70,33.49,85.54,0.50,2.19,44.14,38.56,57.74,6.66,72.86,91.60,57.56,72.53,19.55,12.95,-0.05,-0.06,0.29,0.44,0.44,14.71,0.29,29.76,85.12,0.06,-0.02,0.04,56.66,40.60,65.97,43.51,55.97,44.74,59.88,62.58,75.94,<1B USD
AEFC,AEG,BB,12.5,11/29/2024,12/15/2024,,0.32,5.10%,24.32,18.56,20.18,1.62,-4.14,20.39,21.20,-1.01,-4.83,18.61,22.90,18.24,22.90,7.00,19.88,7.01,5.42,7.03,6.26,6.75,2.31,138.84,11.10,12.50,70.64,43.84,2.03,-0.95,0.29,-0.00,0.12,0.04,0.33,1.37,90.00,10.00,33.47,89.74,4.09,1.61,,,81.04,1.00,72.85,82.92,82.32,68.45,,,-0.00,-0.95,0.29,2.03,2.03,33.44,0.29,29.75,49.87,0.04,0.12,0.16,60.47,55.45,36.73,0.00,1.00,0.00,1.00,84.42,72.37,<1B USD
AFGB,AFG,BB,11.5,12/13/2024,,,0.37,5.88%,26.83,21.40,21.27,-0.13,-5.56,22.09,23.42,-3.70,-9.17,20.68,25.27,20.68,25.27,21.00,20.99,127.14,114.73,150.19,143.79,121.90,56.73,152.29,10.62,11.50,112.94,51.16,1.24,-0.17,0.11,-0.15,-0.12,0.04,0.13,1.49,90.00,75.14,18.65,76.19,-2.03,1.72,54.64,84.98,73.42,92.29,3.35,40.46,40.11,69.25,23.97,27.35,-0.15,-0.17,0.11,1.24,1.24,24.14,0.11,15.59,75.66,0.04,-0.12,-0.08,60.26,45.55,65.68,48.88,62.76,44.33,59.35,47.19,73.07,<1B USD
AFGC,AFG,BB,11.5,11/29/2024,,,0.32,5.13%,26.22,18.46,18.84,0.38,-7.38,19.63,20.95,-4.04,-10.08,18.20,23.42,18.20,23.42,7.00,18.54,127.14,114.73,150.19,143.79,121.90,56.73,152.29,10.62,11.50,112.94,51.16,1.24,-0.17,0.11,-0.15,-0.12,0.04,0.13,1.49,90.00,75.14,18.65,76.19,-2.03,1.72,54.64,84.98,73.42,92.29,3.35,40.46,40.11,69.25,23.97,27.35,-0.15,-0.17,0.11,1.24,1.24,24.14,0.11,15.59,75.66,0.04,-0.12,-0.08,60.26,45.55,65.68,48.88,62.76,44.33,59.35,47.19,73.07,<1B USD
AFGD,AFG,BB,11.5,11/15/2024,,,0.35,5.63%,25.56,20.36,20.10,-0.26,-5.46,21.31,22.97,-5.70,-12.50,18.19,25.61,18.19,25.61,83.00,20.07,127.14,114.73,150.19,143.79,121.90,56.73,152.29,10.62,11.50,112.94,51.16,1.24,-0.17,0.11,-0.15,-0.12,0.04,0.13,1.49,90.00,75.14,18.65,76.19,-2.03,1.72,54.64,84.98,73.42,92.29,3.35,40.46,40.11,69.25,23.97,27.35,-0.15,-0.17,0.11,1.24,1.24,24.14,0.11,15.59,75.66,0.04,-0.12,-0.08,60.26,45.55,65.68,48.88,62.76,44.33,59.35,47.19,73.07,<1B USD
AFGE,AFG,BB,11.5,11/29/2024,,,0.28,4.50%,22.31,16.58,16.68,0.10,-5.63,17.43,18.80,-4.30,-11.29,16.26,21.21,16.20,21.78,7.00,16.42,127.14,114.73,150.19,143.79,121.90,56.73,152.29,10.62,11.50,112.94,51.16,1.24,-0.17,0.11,-0.15,-0.12,0.04,0.13,1.49,90.00,75.14,18.65,76.19,-2.03,1.72,54.64,84.98,73.42,92.29,3.35,40.46,40.11,69.25,23.97,27.35,-0.15,-0.17,0.11,1.24,1.24,24.14,0.11,15.59,75.66,0.04,-0.12,-0.08,60.26,45.55,65.68,48.88,62.76,44.33,59.35,47.19,73.07,<1B USD
AGM PRD,AGM,,NR,12/27/2024,,,0.36,5.70%,25.28,21.04,21.91,0.87,-3.37,22.24,23.00,-1.50,-4.73,21.35,24.86,20.26,25.70,35.00,21.69,192.22,159.63,217.60,203.84,198.42,57.05,217.60,2.05,8.00,73.29,43.02,2.37,-0.12,0.20,-0.12,-0.06,-0.03,1.62,3.47,90.00,79.50,26.33,79.50,-0.51,-0.18,160.55,172.73,83.40,97.93,65.81,46.08,50.64,55.91,68.48,54.56,-0.12,-0.12,0.20,2.37,2.37,37.37,0.20,22.93,79.50,-0.03,-0.06,-0.09,42.62,10.90,52.19,42.79,55.07,42.09,56.40,56.48,61.39,<1B USD
