PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price
ACGLN,ACGL,,12,12/13/2024,,,0.28,4.55%,21.70,16.62,17.06,0.44,-4.64,17.86,19.12,-4.50,-10.76,16.44,20.99,16.44,21.22,21,16.85
ACGLO,ACGL,,11.5,12/13/2024,,,0.34,5.45%,24.93,19.34,20.64,1.30,-4.29,21.14,22.28,-2.35,-7.37,19.99,23.93,19.20,24.50,21,20.38
ACP PRA,ACP,,15,12/16/2024,,,0.33,5.25%,24.61,21.47,21.46,-0.01,-3.15,21.71,23.24,-1.15,-7.66,20.21,25.00,19.65,26.33,24,21.22
ADC PRA,ADC,,11,10/22/2024,,,0.27,4.25%,20.92,15.83,17.54,1.71,-3.38,17.61,18.44,-0.39,-4.89,16.96,21.94,15.71,21.94,59,17.45
AEFC,AEG,BB,12.5,11/29/2024,12/15/2024,,0.32,5.10%,24.32,18.56,20.18,1.62,-4.14,20.39,21.20,-1.01,-4.83,18.61,22.90,18.24,22.90,7,19.88
AFGB,AFG,BB,11.5,12/13/2024,,,0.37,5.88%,26.83,21.40,21.27,-0.13,-5.56,22.09,23.42,-3.70,-9.17,20.68,25.27,20.68,25.27,21,20.99
AFGC,AFG,BB,11.5,11/29/2024,,,0.32,5.13%,26.22,18.46,18.84,0.38,-7.38,19.63,20.95,-4.04,-10.08,18.20,23.42,18.20,23.42,7,18.54
AFGD,AFG,BB,11.5,11/15/2024,,,0.35,5.63%,25.56,20.36,20.10,-0.26,-5.46,21.31,22.97,-5.70,-12.50,18.19,25.61,18.19,25.61,83,20.07
AFGE,AFG,BB,11.5,11/29/2024,,,0.28,4.50%,22.31,16.58,16.68,0.10,-5.63,17.43,18.80,-4.30,-11.29,16.26,21.21,16.20,21.78,7,16.42
AGM PRD,AGM,,NR,12/27/2024,,,0.36,5.70%,25.28,21.04,21.91,0.87,-3.37,22.24,23.00,-1.50,-4.73,21.35,24.86,20.26,25.70,35,21.69
AGM PRE,AGM,,NR,12/27/2024,,,0.36,5.75%,24.90,21.55,21.72,0.17,-3.18,22.39,23.15,-2.99,-6.19,21.42,24.74,20.31,24.93,35,21.50
AGM PRF,AGM,,NR,12/27/2024,,,0.33,5.25%,22.50,19.90,20.21,0.31,-2.29,20.67,21.33,-2.22,-5.26,19.81,23.39,17.82,23.99,35,20.01
AGM PRG,AGM,,NR,12/27/2024,,,0.30,4.88%,21.80,18.20,18.91,0.71,-2.89,19.24,19.92,-1.72,-5.08,18.37,22.37,17.16,22.37,35,18.73
AHH PRA,AHH,,NR,1/2/2025,,,0.42,6.75%,26.43,20.50,21.90,1.40,-4.53,21.92,22.49,-0.08,-2.63,19.88,25.76,19.52,25.76,41,21.67
AIZN,AIZ,BB,10,12/27/2024,,,0.33,5.25%,24.00,17.74,20.58,2.84,-3.42,19.87,21.03,3.58,-2.12,18.01,23.14,17.70,23.14,35,20.38
ALL PRH,ALL,,12,12/27/2024,,,0.32,5.10%,24.78,18.74,20.84,2.10,-3.94,21.50,22.34,-3.08,-6.70,19.37,24.97,18.38,24.97,35,20.64
ALL PRI,ALL,,12,12/27/2024,,,0.30,4.75%,24.92,17.85,19.32,1.47,-5.60,19.98,21.06,-3.29,-8.28,18.56,24.49,17.50,24.49,35,19.14
AMH PRG,AMH,,9,12/13/2024,,,0.37,5.88%,25.47,21.43,23.52,2.09,-1.95,23.10,23.36,1.81,0.67,21.76,25.34,21.10,25.34,21,23.24
AMH PRH,AMH,,9,12/13/2024,,,0.39,6.25%,25.85,22.38,24.93,2.55,-0.92,24.17,24.27,3.14,2.72,22.70,26.25,21.74,26.25,21,24.63
ASB PRE,ASB,,10,12/2/2024,,,0.37,5.88%,25.10,16.77,20.57,3.80,-4.53,21.00,21.40,-2.05,-3.87,19.25,23.75,15.75,23.75,10,20.24
ASB PRF,ASB,,10,12/2/2024,,,0.35,5.63%,25.25,16.40,19.70,3.30,-5.55,20.08,20.46,-1.88,-3.73,18.51,22.91,14.91,22.91,10,19.39
ATH PRB,-,,11,12/13/2024,,,0.35,5.63%,25.26,18.00,19.73,1.73,-5.53,20.11,21.26,-1.89,-7.20,18.34,23.53,16.66,23.53,21,19.46
ATH PRD,-,,11,12/13/2024,,,0.30,4.88%,21.69,15.24,17.03,1.79,-4.66,17.40,18.46,-2.12,-7.76,15.86,20.61,15.19,20.61,21,16.80
AXS PRE,AXS,,11.5,12/26/2024,,,0.34,5.50%,24.04,19.26,20.05,0.79,-3.99,20.74,21.56,-3.33,-6.99,19.45,23.66,18.77,23.66,34,19.84
BAC PRB,BAC,,11,10/29/2024,6/16/2023,,0.38,6.00%,25.69,23.02,24.51,1.49,-1.18,24.96,25.10,-1.79,-2.36,24.15,25.63,22.30,25.63,66,24.41
BAC PRK,BAC,,11,1/2/2025,,,0.37,5.88%,25.68,22.00,23.98,1.98,-1.70,24.57,24.84,-2.40,-3.45,23.45,25.43,21.51,25.43,41,23.78
BAC PRM,BAC,,11,12/2/2024,,,0.34,5.38%,25.18,20.70,21.77,1.07,-3.41,22.66,23.29,-3.93,-6.55,21.44,24.88,20.54,24.88,10,21.47
BAC PRN,BAC,,11,12/2/2024,,,0.31,5.00%,23.90,19.25,20.16,0.91,-3.74,21.03,21.90,-4.12,-7.94,19.50,24.04,19.00,24.04,10,19.88
BAC PRO,BAC,,11,10/15/2024,11/3/2025,,0.27,4.38%,21.39,16.54,17.60,1.06,-3.79,18.51,19.39,-4.92,-9.22,17.30,21.54,16.35,21.54,52,17.49
BAC PRP,BAC,,11,10/15/2024,,,0.26,4.12%,20.80,15.57,16.57,1.00,-4.23,17.50,18.32,-5.29,-9.57,16.26,20.58,15.40,20.58,52,16.46
BAC PRQ,BAC,,11,11/1/2024,,,0.27,4.25%,20.46,16.11,16.97,0.86,-3.49,17.94,18.74,-5.38,-9.46,16.74,21.00,15.98,21.00,69,16.91
BAC PRS,BAC,,11,11/1/2024,,,0.30,4.75%,22.49,18.24,19.10,0.86,-3.39,20.08,20.95,-4.87,-8.84,18.78,23.44,17.82,23.44,69,19.03
BCV PRA,BCV,,16,12/16/2024,,,0.34,5.39%,24.69,22.15,22.18,0.03,-2.51,22.41,22.97,-1.04,-3.45,21.51,24.71,21.51,25.26,24,21.93
BFS PRD,BFS,,NR,12/27/2024,,,0.38,6.13%,24.15,19.30,21.25,1.95,-2.90,21.00,21.42,1.21,-0.81,19.30,23.77,19.01,23.95,35,21.02
BFS PRE,BFS,,NR,12/27/2024,,,0.38,6.00%,24.60,18.93,20.85,1.92,-3.75,20.82,21.37,0.15,-2.45,18.34,24.06,18.34,24.49,35,20.62
BHFAL,BHF,BB,10.5,12/2/2024,9/15/2023,,0.39,6.25%,26.35,20.69,20.30,-0.39,-6.05,21.24,22.81,-4.42,-10.99,19.26,25.47,19.10,25.47,10,19.95
BHFAM,BHF,,10.5,12/6/2024,,,0.29,4.63%,21.13,13.35,14.91,1.56,-6.22,14.81,16.20,0.65,-7.97,13.28,18.95,13.03,18.95,14,14.67
BHFAN,BHF,,10,12/6/2024,,,0.34,5.38%,22.69,15.27,16.33,1.06,-6.36,16.46,18.49,-0.77,-11.67,14.54,21.63,14.54,21.63,14,16.04
BHFAO,BHF,,10,12/6/2024,6/25/2025,,0.42,6.75%,26.51,21.17,20.15,-1.02,-6.36,21.10,23.43,-4.52,-14.01,18.53,26.00,18.53,26.00,14,19.80
BHFAP,BHF,,10,12/6/2024,,,0.41,6.60%,26.10,20.01,19.69,-0.32,-6.41,20.68,22.68,-4.77,-13.19,18.38,25.51,18.38,25.51,14,19.34
BOH PRA,BOH,,12,10/17/2024,8/1/2026,,0.27,4.38%,20.44,13.05,15.46,2.41,-4.98,15.89,16.60,-2.71,-6.85,14.51,19.24,12.86,19.24,54,15.35
BWBBP,BWB,,NR,11/11/2024,8/17/2026,,0.37,5.88%,23.52,16.57,18.81,2.24,-4.71,19.14,19.06,-1.73,-1.33,18.10,22.00,14.48,22.00,79,18.76
CADE PRA,CADE,,NR,11/1/2024,11/20/2024,,0.34,5.50%,24.16,16.69,20.88,4.19,-3.28,21.16,21.18,-1.34,-1.43,19.60,23.49,16.13,23.49,69,20.80
CFG PRE,CFG,,10,12/18/2024,,,0.31,5.00%,22.34,16.20,19.20,3.00,-3.14,19.61,20.38,-2.09,-5.81,17.99,23.38,15.17,23.38,26,18.98
CFR PRB,CFR,,11.5,11/27/2024,,,0.28,4.45%,21.80,15.89,17.73,1.84,-4.07,17.72,18.78,0.05,-5.58,16.34,22.15,15.60,22.15,5,17.47
CIM PRA,CIM,,NR,12/11/2024,10/21/2021,,0.50,8.00%,22.82,18.15,22.32,4.17,-0.50,21.96,22.52,1.62,-0.87,19.85,24.56,17.33,24.56,19,21.93
CIO PRA,CIO,,NR,1/8/2025,9/15/2021,,0.41,6.63%,24.00,15.06,19.23,4.17,-4.77,18.53,18.58,3.75,3.51,16.86,21.06,14.16,21.79,47,19.03
CLDT PRA,CLDT,,NR,12/27/2024,,,0.41,6.63%,24.33,19.64,20.61,0.97,-3.72,20.54,21.54,0.36,-4.33,18.18,24.49,18.18,24.49,35,20.36
